,0
Annual return,-0.0529015553533303
Cumulative returns,-0.0023697060837504225
Annual volatility,0.03001064912307666
Sharpe ratio,-1.7627594503662933
Sortino ratio,-1.907766224370917
Max drawdown,-0.005595295322465055
