date,stock_id,sharpe_ratio
8/15/2015,2412.TW,0.01981813
11/15/2015,2412.TW,0.197654918
4/1/2016,2412.TW,0.100791244
5/16/2016,2412.TW,0.145183721
8/15/2016,2412.TW,-0.219159414
11/15/2016,2412.TW,-0.013448405
4/1/2017,2412.TW,0.154233388
5/16/2017,2412.TW,0.029021867
8/15/2017,2412.TW,0.019940909
11/15/2017,2412.TW,0.16814938
4/1/2018,2412.TW,-0.161376183
5/16/2018,2412.TW,0.105081595
8/15/2018,2412.TW,0.003677637
11/15/2018,2412.TW,0.032140894
4/1/2019,2412.TW,0.002866741
5/16/2019,2412.TW,0.03162914
8/15/2019,2412.TW,0.192443187
11/15/2019,2412.TW,-0.089452697
4/1/2020,2412.TW,0.150609772
5/16/2020,2412.TW,0.060051636
8/15/2020,2412.TW,0.041451345
11/15/2020,2412.TW,0.039697737
4/1/2021,2412.TW,0.083005149
5/16/2021,2412.TW,0.124559136
8/15/2021,2412.TW,-0.016868466
11/15/2021,2412.TW,0.229614584
4/1/2022,2412.TW,-0.08179278
5/16/2022,2412.TW,0.072823344
8/15/2022,2412.TW,-0.233164541
11/15/2022,2412.TW,0.138955493
4/1/2023,2412.TW,0.263882425
5/16/2023,2412.TW,-0.083393689
8/15/2023,2412.TW,-0.010999989
11/15/2023,2412.TW,0.159915613
4/1/2024,2412.TW,-0.032119753
5/16/2024,2412.TW,
5/16/2013,2308.TW,-0.012164302
8/15/2013,2308.TW,0.053690717
11/15/2013,2308.TW,0.158506369
4/1/2014,2308.TW,0.03696192
5/16/2014,2308.TW,0.137891674
8/15/2014,2308.TW,-0.161954258
11/15/2014,2308.TW,0.097323556
4/1/2015,2308.TW,-0.200973623
5/16/2015,2308.TW,-0.005203872
8/15/2015,2308.TW,0.015087752
11/15/2015,2308.TW,-0.062067726
4/1/2016,2308.TW,0.015935399
5/16/2016,2308.TW,0.32651306
8/15/2016,2308.TW,-0.080187471
11/15/2016,2308.TW,0.039222859
4/1/2017,2308.TW,0.080920535
5/16/2017,2308.TW,-0.06414125
8/15/2017,2308.TW,-0.227186502
11/15/2017,2308.TW,-0.035428918
4/1/2018,2308.TW,-0.227693658
5/16/2018,2308.TW,-0.023647079
8/15/2018,2308.TW,0.151484346
11/15/2018,2308.TW,0.154597561
4/1/2019,2308.TW,-0.12746705
5/16/2019,2308.TW,0.073938923
8/15/2019,2308.TW,-0.081658914
11/15/2019,2308.TW,-0.050303291
4/1/2020,2308.TW,0.249858117
5/16/2020,2308.TW,0.400312265
8/15/2020,2308.TW,-0.007430123
11/15/2020,2308.TW,0.188293988
4/1/2021,2308.TW,-0.163257097
5/16/2021,2308.TW,0.056098939
8/15/2021,2308.TW,-0.040635597
11/15/2021,2308.TW,0.029028955
4/1/2022,2308.TW,-0.311941857
5/16/2022,2308.TW,0.166104794
8/15/2022,2308.TW,0.046095372
11/15/2022,2308.TW,0.029273085
4/1/2023,2308.TW,0.064619099
5/16/2023,2308.TW,0.169733526
8/15/2023,2308.TW,-0.166597374
11/15/2023,2308.TW,0.07666788
4/1/2024,2308.TW,-0.06038104
5/16/2024,2308.TW,
5/16/2013,6505.TW,-0.082294297
8/15/2013,6505.TW,0.070494757
11/15/2013,6505.TW,0.000652348
4/1/2014,6505.TW,-0.191147173
5/16/2014,6505.TW,0.021147424
8/15/2014,6505.TW,-0.067554941
11/15/2014,6505.TW,0.020264488
4/1/2015,6505.TW,0.23323714
5/16/2015,6505.TW,-0.037155287
8/15/2015,6505.TW,0.052079715
11/15/2015,6505.TW,0.176963916
4/1/2016,6505.TW,-0.173057039
5/16/2016,6505.TW,0.226267544
8/15/2016,6505.TW,0.018189719
11/15/2016,6505.TW,0.052075948
4/1/2017,6505.TW,-0.031353869
5/16/2017,6505.TW,0.013220648
8/15/2017,6505.TW,0.03023088
11/15/2017,6505.TW,0.073579939
4/1/2018,6505.TW,0.124532899
5/16/2018,6505.TW,0.039834286
8/15/2018,6505.TW,-0.050178466
11/15/2018,6505.TW,0.033741852
4/1/2019,6505.TW,-0.125508514
5/16/2019,6505.TW,-0.111093862
8/15/2019,6505.TW,0.018876433
11/15/2019,6505.TW,-0.086599782
4/1/2020,6505.TW,0.17144796
5/16/2020,6505.TW,-0.041042799
8/15/2020,6505.TW,0.100724863
11/15/2020,6505.TW,0.040430497
4/1/2021,6505.TW,0.011264436
5/16/2021,6505.TW,0.023895016
8/15/2021,6505.TW,0.087108796
11/15/2021,6505.TW,-0.089187979
4/1/2022,6505.TW,-0.127355715
5/16/2022,6505.TW,-0.041432407
8/15/2022,6505.TW,0.013630017
11/15/2022,6505.TW,-0.005205876
4/1/2023,6505.TW,-0.031028976
5/16/2023,6505.TW,-0.1083077
8/15/2023,6505.TW,0.008928586
11/15/2023,6505.TW,-0.160447523
4/1/2024,6505.TW,-0.047112064
5/16/2024,6505.TW,
5/16/2013,2303.TW,-0.021003354
8/15/2013,2303.TW,0.00543782
11/15/2013,2303.TW,0.077939845
