,date,account_value
0,2024-05-17,1000000.0
1,2024-05-21,1005419.4689125001
2,2024-05-22,1014535.8272250001
3,2024-05-23,1010708.8902825002
4,2024-05-24,1028071.9802150001
5,2024-05-28,1021371.4906275001
6,2024-05-29,1022397.1094800002
7,2024-05-30,1003675.2963350002
8,2024-05-31,980493.1429887501
9,2024-06-04,1004210.2188087502
10,2024-06-05,1012946.7684737501
