time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/reward,train/entropy_loss,train/loss,train/explained_variance,train/std,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates
1,4096,13,313,0.0027,,,,,,,,,,,
2,8192,25,323,0.0249804,-19.871380233764647,3.1950526237487793,0.012349843978881836,1.0008946657180786,6.9592243194580075,-0.008830978511832654,0.004824474,0.00025,0.2,0.0111572265625,10
