date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,2371.TW,23040451000.0,-0.21,-472850000.0,-1782667000.0,-1782667000.0,-840624000.0,25056066000.0,189888000.0,-2623291000.0,23395367000.0,11.1,747199000.0,0.35,29418129000.0,13.95,85006131000.0,40.32,94886869000.0,45.01,59248897000.0,33522487000.0,15.9,28.11,151562407000.0,71.89,125805173000.0,59.68,56675538000.0,26.88,23395367000.0,11.1,22169736000.0,10.52,524140000.0,0.25,84512313000.0,40.09,9662651000.0,4.58,210811304000.0,100.0,210811304000.0,100.0,30140282000.0,29418129000.0,-722153000.0,2023487000.0,-6648125000.0,3026239000.0,2813491000.0,-1592779000.0,-214826000.0,-1592779000.0,-894998000.0,-1493677000.0,3677902000.0,
2015-08-15,2371.TW,21955379000.0,-0.25,-573400000.0,-1969416000.0,-1969416000.0,-778708000.0,22789484000.0,366119000.0,-2748124000.0,23395367000.0,11.53,754325000.0,0.37,27658809000.0,13.63,80647585000.0,39.74,93261755000.0,45.95,56499109000.0,32599584000.0,16.06,27.84,146456356000.0,72.16,122307880000.0,60.26,53194601000.0,26.21,23395367000.0,11.53,22117443000.0,10.9,173172000.0,0.09,80462605000.0,39.65,9083590000.0,4.48,202955465000.0,100.0,202955465000.0,100.0,30140282000.0,27658809000.0,-2481473000.0,712153000.0,-4810246000.0,3057202000.0,5633569000.0,-3196076000.0,-452368000.0,-3196076000.0,-1998284000.0,-3123459000.0,6070880000.0,-0.20115740122400963
2015-11-15,2371.TW,22375959000.0,-0.45,-1025569000.0,-3963799000.0,-3963799000.0,-285110000.0,23852323000.0,118617000.0,-4248909000.0,23395367000.0,11.72,772867000.0,0.39,21842910000.0,10.94,79564793000.0,39.85,98701197000.0,49.43,51477554000.0,31634963000.0,15.84,25.78,148187440000.0,74.22,120100201000.0,60.15,49486243000.0,24.78,23395367000.0,11.72,24674488000.0,12.36,215578000.0,0.11,79733249000.0,39.93,8058021000.0,4.04,199664994000.0,100.0,199664994000.0,100.0,30140282000.0,21842910000.0,-8297372000.0,1401600000.0,-8592483000.0,4643490000.0,8286665000.0,-7041258000.0,-668071000.0,-7041258000.0,-3135666000.0,-5105684000.0,9409466000.0,-0.008922467126511817
2016-04-01,2371.TW,21328148000.0,-0.44,-1003196000.0,-3078637000.0,-3078637000.0,571398000.0,23046480000.0,460929000.0,-2507239000.0,23395367000.0,11.59,785376000.0,0.39,27131458000.0,13.44,86960951000.0,43.07,104017444000.0,51.51,48911859000.0,30599156000.0,15.15,24.22,153006759000.0,75.78,114957667000.0,56.93,48989315000.0,24.26,23395367000.0,11.59,28090332000.0,13.91,242144000.0,0.12,77800166000.0,38.53,6983139000.0,3.46,201918618000.0,100.0,201918618000.0,100.0,30140282000.0,27131458000.0,-3008824000.0,1040544000.0,-10524808000.0,5351968000.0,10917161000.0,-10082870000.0,-921594000.0,-9658966000.0,-4269825000.0,-6386992000.0,12506932000.0,0.006294002108860768
2016-05-16,2371.TW,19892080000.0,-0.35,-795461000.0,-2645804000.0,-2645804000.0,-472318000.0,22029509000.0,165863000.0,-3118122000.0,23395367000.0,11.48,823295000.0,0.4,27888019000.0,13.68,93731615000.0,45.99,117313741000.0,57.57,45825969000.0,29770420000.0,14.61,22.49,157961784000.0,77.51,110056138000.0,54.01,40648043000.0,19.95,23395367000.0,11.48,27943148000.0,13.71,172583000.0,0.08,76133295000.0,37.36,6186045000.0,3.04,203787753000.0,100.0,203787753000.0,100.0,27131458000.0,27888019000.0,756561000.0,-1983033000.0,-6511340000.0,-928717000.0,2567422000.0,-2368748000.0,-216355000.0,-2479941000.0,-1010009000.0,-1223261000.0,3819321000.0,-0.6291249418686139
2016-08-15,2371.TW,19331192000.0,-0.31,-689307000.0,345219000.0,345219000.0,-1509587000.0,21855331000.0,776067000.0,-1164368000.0,23395367000.0,11.71,457811000.0,0.23,26890725000.0,13.46,92387982000.0,46.26,115230032000.0,57.69,44661601000.0,28490531000.0,14.26,22.36,155072366000.0,77.64,107345985000.0,53.74,39842334000.0,19.95,23395367000.0,11.71,29297934000.0,14.67,-15012000.0,-0.01,76421469000.0,38.26,5496738000.0,2.75,199733967000.0,100.0,199733967000.0,100.0,27131458000.0,26890725000.0,-240733000.0,-3910776000.0,-3854632000.0,-1649574000.0,4983831000.0,-1358655000.0,-439247000.0,-1358655000.0,-2065003000.0,-4625881000.0,4676902000.0,0.15081220135793194
2016-11-15,2371.TW,18328130000.0,-0.19,-450985000.0,-959402000.0,-959402000.0,-1415625000.0,20307372000.0,187781000.0,-2375027000.0,23395367000.0,9.74,2764007000.0,1.15,71018947000.0,29.56,132095765000.0,54.99,114177683000.0,47.53,89073575000.0,29746124000.0,12.38,37.08,151145114000.0,62.92,108122924000.0,45.01,36967431000.0,15.39,23395367000.0,9.74,27210455000.0,11.33,-586983000.0,-0.24,76409406000.0,31.81,5045753000.0,2.1,240218689000.0,100.0,240218689000.0,100.0,27131458000.0,71018947000.0,43887489000.0,1926659000.0,-8798270000.0,5391277000.0,7329658000.0,-2130276000.0,-670888000.0,-2130276000.0,-3064799000.0,-7939163000.0,7722370000.0,0.2845337110304095
2017-04-01,2371.TW,9539657000.0,-0.18,-408192000.0,-279915000.0,-246267000.0,-704082000.0,13485413000.0,170056000.0,-983997000.0,23395367000.0,9.81,2864841000.0,1.2,42687252000.0,17.91,130165281000.0,54.6,103081497000.0,43.24,85883325000.0,29640304000.0,12.43,36.02,152516028000.0,63.98,108234072000.0,45.4,49434531000.0,20.74,23395367000.0,9.81,17500805000.0,7.34,-371104000.0,-0.16,71518020000.0,30.0,4808065000.0,2.02,238399353000.0,100.0,238399353000.0,100.0,27131458000.0,46521400000.0,19389942000.0,4200411000.0,-34538143000.0,8418412000.0,9614995000.0,-2206487000.0,-977370000.0,-2193235000.0,-4053644000.0,-12527615000.0,11260365000.0,0.12150240986920238
2017-05-16,2371.TW,14584685000.0,0.04,93307000.0,1096936000.0,1027438000.0,-2842996000.0,18539120000.0,247615000.0,-1746060000.0,23395367000.0,10.54,3353399000.0,1.51,42836028000.0,19.3,99224939000.0,44.7,81853565000.0,36.87,221982218000.0,29078454000.0,13.1,100.0,138343891000.0,62.32,122757279000.0,55.3,56490326000.0,25.45,23395367000.0,10.54,9226742000.0,4.16,-539329000.0,-0.24,82498928000.0,37.16,4520099000.0,2.04,221982218000.0,100.0,221982218000.0,100.0,46521400000.0,42836028000.0,-3685372000.0,3830118000.0,-1900549000.0,4806103000.0,2179977000.0,1275053000.0,-264295000.0,1384417000.0,-1056586000.0,-14023035000.0,3007309000.0,-0.18867273752482747
2017-08-15,2371.TW,14981677000.0,0.24,543278000.0,1015196000.0,1015196000.0,164659000.0,17212600000.0,438975000.0,1179855000.0,23395367000.0,10.57,3303525000.0,1.49,35517771000.0,16.05,90546866000.0,40.92,82248223000.0,37.17,84768308000.0,29389794000.0,13.28,38.31,136502384000.0,61.69,130723826000.0,59.08,54254161000.0,24.52,23395367000.0,10.57,9557193000.0,4.32,-731398000.0,-0.33,85424576000.0,38.61,5063377000.0,2.29,221270692000.0,100.0,221270692000.0,100.0,46521400000.0,35517771000.0,-11003629000.0,988736000.0,-5551850000.0,2807599000.0,3889014000.0,2729224000.0,-505014000.0,2838588000.0,-1865803000.0,-18478873000.0,1749581000.0,0.06166783242547613
