date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,1303.TW,68480472000.0,1.0,7950168000.0,8169341000.0,8169341000.0,-4207978000.0,79525772000.0,1648631000.0,3961363000.0,79308216000.0,14.87,23158501000.0,4.34,48670254000.0,9.13,217272281000.0,40.75,71274790000.0,13.37,337221337000.0,322675669000.0,60.52,63.25,195965472000.0,36.75,315914528000.0,59.25,124690682000.0,23.39,79308216000.0,14.87,32800489000.0,6.15,58554798000.0,10.98,140625889000.0,26.37,161654154000.0,30.32,533186809000.0,100.0,533186809000.0,100.0,36632716000.0,48670254000.0,12037538000.0,12359080000.0,4663517000.0,12878916000.0,3993941000.0,9817972000.0,-187691000.0,9817972000.0,-257535000.0,-1078502000.0,1147708000.0,
2015-08-15,1303.TW,69668004000.0,1.59,12558411000.0,12558547000.0,12558547000.0,-12768678000.0,82023829000.0,3419351000.0,-210131000.0,79308216000.0,14.99,23170042000.0,4.38,55474660000.0,10.49,225379705000.0,42.61,93468598000.0,17.67,318053576000.0,304602600000.0,57.59,60.13,210851798000.0,39.87,303525669000.0,57.39,117383200000.0,22.19,79308216000.0,14.99,33371011000.0,6.31,46152666000.0,8.73,138203798000.0,26.13,155971676000.0,29.49,528905374000.0,100.0,528905374000.0,100.0,36632716000.0,55474660000.0,18841944000.0,28215808000.0,6102238000.0,29187017000.0,8005621000.0,25795870000.0,-411675000.0,25795870000.0,-1394293000.0,-2709881000.0,-2429174000.0,-0.16604078956406948
2015-11-15,1303.TW,64395448000.0,1.26,10035085000.0,10178439000.0,10178439000.0,-590773000.0,71304590000.0,1668273000.0,9587666000.0,79308216000.0,15.18,23389013000.0,4.48,60500025000.0,11.58,215033477000.0,41.16,82282701000.0,15.75,327865081000.0,314292049000.0,60.17,62.76,194505915000.0,37.24,307337519000.0,58.84,112223214000.0,21.48,79308216000.0,15.18,36876034000.0,7.06,45588059000.0,8.73,139265543000.0,26.66,166006761000.0,31.78,522370996000.0,100.0,522370996000.0,100.0,36632716000.0,60500025000.0,23867309000.0,48852627000.0,-1053568000.0,47533718000.0,12006263000.0,37642582000.0,-577806000.0,37642582000.0,-1770299000.0,-5832581000.0,-3567336000.0,0.00480806062018345
2016-04-01,1303.TW,60915658000.0,0.65,5177682000.0,5175377000.0,5175377000.0,4662132000.0,66927223000.0,826578000.0,9837509000.0,79308216000.0,15.44,23642467000.0,4.6,51911314000.0,10.1,199737404000.0,38.88,66602248000.0,12.96,337951226000.0,324283742000.0,63.12,65.78,175774750000.0,34.22,313988572000.0,61.12,109172502000.0,21.25,79308216000.0,15.44,21220618000.0,4.13,51627849000.0,10.05,137066328000.0,26.68,169705210000.0,33.03,513725976000.0,100.0,513725976000.0,100.0,36632716000.0,51911314000.0,15278598000.0,63214686000.0,-4444054000.0,62244724000.0,15836101000.0,43644537000.0,-760893000.0,43644537000.0,-2315985000.0,-10071962000.0,-2937878000.0,0.09566062268419587
2016-05-16,1303.TW,57842627000.0,0.68,5369937000.0,5290566000.0,5290566000.0,-827208000.0,65469083000.0,1051603000.0,4463358000.0,79308216000.0,15.2,25104698000.0,4.81,58022316000.0,11.12,205296703000.0,39.35,73734695000.0,14.13,343872587000.0,330305684000.0,63.31,65.91,177856290000.0,34.09,316432174000.0,60.65,104121595000.0,19.96,79308216000.0,15.2,24587894000.0,4.71,50817623000.0,9.74,135668815000.0,26.0,175075147000.0,33.56,521728877000.0,100.0,521728877000.0,100.0,51911314000.0,58022316000.0,6111002000.0,7251162000.0,-2229514000.0,7533266000.0,3973933000.0,6342169000.0,-203714000.0,6342169000.0,-276658000.0,-3525804000.0,1943885000.0,-0.3166973777214671
2016-08-15,1303.TW,60521107000.0,1.05,8357979000.0,8303395000.0,8303395000.0,-4947335000.0,68244079000.0,1679026000.0,3356060000.0,79308216000.0,15.3,24963259000.0,4.82,51651218000.0,9.97,213613457000.0,41.21,90524158000.0,17.47,320630154000.0,307578884000.0,59.34,61.86,197669974000.0,38.14,304686671000.0,58.79,107145816000.0,20.67,79308216000.0,15.3,18105351000.0,3.49,46045994000.0,8.88,131948415000.0,25.46,157261415000.0,30.34,518300128000.0,100.0,518300128000.0,100.0,51911314000.0,51651218000.0,-260096000.0,16817330000.0,-9839566000.0,17213311000.0,7939601000.0,16324590000.0,-394254000.0,16324590000.0,-891854000.0,-4825176000.0,-737120000.0,0.14934691918344986
2016-11-15,1303.TW,61736217000.0,1.06,8426145000.0,8149794000.0,8149794000.0,-2980900000.0,68900863000.0,914264000.0,5168894000.0,79308216000.0,15.67,24999669000.0,4.94,44377349000.0,8.77,211592648000.0,41.8,80593086000.0,15.92,325828595000.0,313080576000.0,61.85,64.37,180343272000.0,35.63,294579219000.0,58.2,99750186000.0,19.71,79308216000.0,15.67,24615774000.0,4.86,43085131000.0,8.51,129668327000.0,25.62,165687560000.0,32.73,506171867000.0,100.0,506171867000.0,100.0,51911314000.0,44377349000.0,-7533965000.0,36711800000.0,-19541490000.0,25406077000.0,11830916000.0,25388648000.0,-558518000.0,25388648000.0,-1498150000.0,-7968207000.0,-1000121000.0,0.037107217355338125
2017-04-01,1303.TW,63703020000.0,3.37,26686206000.0,26969268000.0,26969268000.0,81574000.0,72680406000.0,1489075000.0,27050842000.0,79308216000.0,14.76,23155633000.0,4.31,57411505000.0,10.69,217478209000.0,40.48,84918274000.0,15.81,351033466000.0,338453114000.0,63.0,65.35,186151338000.0,34.65,319706595000.0,59.52,101233064000.0,18.85,79308216000.0,14.76,21492762000.0,4.0,44692788000.0,8.32,139724458000.0,26.01,191296477000.0,35.61,537184804000.0,100.0,537184804000.0,100.0,51911314000.0,57411505000.0,5500191000.0,46386609000.0,-11879755000.0,36739680000.0,16023658000.0,53846991000.0,-719958000.0,53846991000.0,-2415044000.0,-10176351000.0,-20248900000.0,0.11086992620681586
2017-05-16,1303.TW,59643943000.0,1.37,10867218000.0,10569777000.0,10569777000.0,-6025272000.0,72676153000.0,1940415000.0,4544505000.0,79308216000.0,14.83,23193559000.0,4.34,62807438000.0,11.74,214230640000.0,40.05,76977571000.0,14.39,534932838000.0,343531328000.0,64.22,100.0,179327854000.0,33.52,320702198000.0,59.95,102350283000.0,19.13,79308216000.0,14.83,14289207000.0,2.67,38865858000.0,7.27,134467290000.0,25.14,202163695000.0,37.79,534932838000.0,100.0,534932838000.0,100.0,57411505000.0,62807438000.0,5395933000.0,3903090000.0,6949516000.0,4590357000.0,4021871000.0,12510192000.0,-237841000.0,12510192000.0,-499473000.0,-2347128000.0,-642231000.0,-0.08731145773881567
2017-08-15,1303.TW,62858697000.0,1.14,9030791000.0,9002456000.0,9002456000.0,3008229000.0,74105572000.0,2506580000.0,12010685000.0,79308216000.0,14.8,23361499000.0,4.36,52183129000.0,9.74,222821902000.0,41.59,103990070000.0,19.41,535763334000.0,319975735000.0,59.72,100.0,204030593000.0,38.08,312941432000.0,58.41,100040523000.0,18.67,79308216000.0,14.8,13882026000.0,2.59,41800231000.0,7.8,135041854000.0,25.21,175505789000.0,32.76,535763334000.0,100.0,535763334000.0,100.0,57411505000.0,52183129000.0,-5228376000.0,10875197000.0,748719000.0,14571843000.0,8011343000.0,24019228000.0,-568001000.0,24019228000.0,-1102099000.0,-5142340000.0,-2186918000.0,0.2232830510608053
