date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,1605.TW,35307126000.0,-0.06,-196271000.0,-196677000.0,-196677000.0,-1098509000.0,36241151000.0,88678000.0,-1295186000.0,35760002000.0,33.06,15648353000.0,14.47,7908872000.0,7.31,52664175000.0,48.68,23021416000.0,21.28,64125788000.0,62238923000.0,57.53,59.28,44053483000.0,40.72,55515096000.0,51.32,21032067000.0,19.44,35760002000.0,33.06,3531301000.0,3.26,1392184000.0,1.29,18309234000.0,16.92,9731277000.0,9.0,108179271000.0,100.0,108179271000.0,100.0,6417086000.0,7908872000.0,1491786000.0,-1466147000.0,1053296000.0,-981803000.0,538708000.0,-107999000.0,-104757000.0,-107999000.0,-111433000.0,-457375000.0,627746000.0,
2015-08-15,1605.TW,37972118000.0,0.2,710074000.0,743420000.0,743420000.0,-1684621000.0,39608167000.0,375585000.0,-941201000.0,35760002000.0,33.37,15629048000.0,14.58,9800447000.0,9.15,52590657000.0,49.08,33522463000.0,31.28,62732264000.0,60865676000.0,56.8,58.54,44426886000.0,41.46,54568493000.0,50.92,10904423000.0,10.18,35760002000.0,33.37,12252665000.0,11.43,-287947000.0,-0.27,17984981000.0,16.78,10373383000.0,9.68,107159150000.0,100.0,107159150000.0,100.0,6417086000.0,9800447000.0,3383361000.0,2175575000.0,-881805000.0,2649403000.0,1094228000.0,1011006000.0,-211943000.0,1011006000.0,-223103000.0,-742194000.0,902698000.0,-0.06141727193908659
2015-11-15,1605.TW,34684408000.0,0.19,664830000.0,673604000.0,673604000.0,473338000.0,36050838000.0,125965000.0,1146942000.0,35760002000.0,33.7,15629048000.0,14.73,9119777000.0,8.6,52230751000.0,49.23,17940297000.0,16.91,63861304000.0,62022243000.0,58.46,60.19,42237304000.0,39.81,53867857000.0,50.77,24297007000.0,22.9,35760002000.0,33.7,3779117000.0,3.56,203816000.0,0.19,18003183000.0,16.97,11038187000.0,10.4,106098608000.0,100.0,106098608000.0,100.0,6417086000.0,9119777000.0,2702691000.0,1372034000.0,618128000.0,1845441000.0,1645506000.0,1810575000.0,-315999000.0,1810575000.0,-343727000.0,-1157334000.0,1117861000.0,-0.011838456446064077
2016-04-01,1605.TW,35565558000.0,0.12,423093000.0,507785000.0,507785000.0,-900559000.0,37437959000.0,147071000.0,-392774000.0,35760002000.0,34.16,15766866000.0,15.06,8887554000.0,8.49,51200394000.0,48.91,17078873000.0,16.31,63568459000.0,61680070000.0,58.92,60.72,41114832000.0,39.28,53482897000.0,51.09,24035959000.0,22.96,35760002000.0,34.16,3903841000.0,3.73,-621113000.0,-0.59,17575655000.0,16.79,11383125000.0,10.87,104683291000.0,100.0,104683291000.0,100.0,6417086000.0,8887554000.0,2470468000.0,4011706000.0,78896000.0,4546046000.0,2188242000.0,2465431000.0,-392190000.0,2465431000.0,-430716000.0,-1653409000.0,1719031000.0,0.11736596074233471
2016-05-16,1605.TW,29782407000.0,0.26,905002000.0,958633000.0,958633000.0,93860000.0,31928919000.0,319783000.0,1052493000.0,35760002000.0,34.9,15691489000.0,15.31,6609746000.0,6.45,48404148000.0,47.23,16257124000.0,15.86,64484853000.0,62575614000.0,61.06,62.93,37993006000.0,37.07,54073711000.0,52.77,21735882000.0,21.21,35760002000.0,34.9,4592908000.0,4.48,-547781000.0,-0.53,17904262000.0,17.47,12280714000.0,11.98,102477859000.0,100.0,102477859000.0,100.0,8887554000.0,6609746000.0,-2277808000.0,-426478000.0,-1113598000.0,-220017000.0,468707000.0,1278416000.0,-88346000.0,1278416000.0,-68736000.0,-1386651000.0,127863000.0,0.18707617793878567
2016-08-15,1605.TW,33205806000.0,0.3,1050019000.0,1092654000.0,1092654000.0,-668265000.0,35813886000.0,428394000.0,424389000.0,35760002000.0,32.75,15698613000.0,14.38,14946648000.0,13.69,55504773000.0,50.83,23929709000.0,21.91,63540600000.0,61680982000.0,56.49,58.19,45653652000.0,41.81,53689479000.0,49.17,21723943000.0,19.89,35760002000.0,32.75,9043293000.0,8.28,-1237867000.0,-1.13,17944302000.0,16.43,12629172000.0,11.57,109194252000.0,100.0,109194252000.0,100.0,8887554000.0,14946648000.0,6059094000.0,6654058000.0,-27999000.0,7228959000.0,911834000.0,2799464000.0,-158669000.0,2799464000.0,-128421000.0,-2067903000.0,655962000.0,0.06603278339943648
2016-11-15,1605.TW,33974459000.0,0.41,1411209000.0,1494898000.0,1494898000.0,-91343000.0,36635685000.0,314888000.0,1403555000.0,35160002000.0,31.36,15737016000.0,14.04,13095346000.0,11.68,54156230000.0,48.31,32087258000.0,28.62,63590321000.0,61767215000.0,55.1,56.72,48517420000.0,43.28,57951511000.0,51.69,16430162000.0,14.66,35160002000.0,31.36,13489279000.0,12.03,-1323783000.0,-1.18,20532499000.0,18.31,14039403000.0,12.52,112107741000.0,100.0,112107741000.0,100.0,8887554000.0,13095346000.0,4207792000.0,9103428000.0,-2961903000.0,9750723000.0,1343483000.0,4609250000.0,-239109000.0,4609250000.0,-218513000.0,-3375357000.0,1043693000.0,0.19623001495337955
2017-04-01,1605.TW,36828162000.0,0.36,1201895000.0,1292318000.0,1292318000.0,426052000.0,38976751000.0,271803000.0,1718370000.0,33960002000.0,29.74,15701403000.0,13.75,7733584000.0,6.77,55356705000.0,48.48,32360784000.0,28.34,65282005000.0,63365942000.0,55.5,57.18,48897209000.0,42.82,58822509000.0,51.52,16536425000.0,14.48,33960002000.0,29.74,15076160000.0,13.2,-897872000.0,-0.79,20483863000.0,17.94,15211219000.0,13.32,114179214000.0,100.0,114179214000.0,100.0,8887554000.0,7733584000.0,-1153970000.0,7439385000.0,-2139538000.0,8189279000.0,1792356000.0,6173371000.0,-312209000.0,6173371000.0,-323461000.0,-3248042000.0,968867000.0,0.051238938476720126
2017-05-16,1605.TW,35340615000.0,0.26,853009000.0,851403000.0,851403000.0,-817987000.0,37480713000.0,210827000.0,33416000.0,33960002000.0,30.4,15701680000.0,14.06,6935552000.0,6.21,52242763000.0,46.77,29945001000.0,26.81,65193080000.0,63397405000.0,56.75,58.36,46512321000.0,41.64,59462638000.0,53.23,16567320000.0,14.83,33960002000.0,30.4,13076637000.0,11.71,-1702170000.0,-1.52,20149871000.0,18.04,16046703000.0,14.37,111705401000.0,100.0,111705401000.0,100.0,7733584000.0,6935552000.0,-798032000.0,-80656000.0,-433537000.0,282480000.0,456237000.0,1062230000.0,-93238000.0,1062230000.0,-125758000.0,-512788000.0,489070000.0,-0.1573053255670123
2017-08-15,1605.TW,36725553000.0,0.19,656548000.0,672986000.0,672986000.0,1047662000.0,38306287000.0,354389000.0,1720648000.0,33660002000.0,29.03,15708771000.0,13.55,9998895000.0,8.62,55554138000.0,47.92,34912936000.0,30.11,64460717000.0,62776822000.0,54.15,55.6,51479712000.0,44.4,60386291000.0,52.08,16566776000.0,14.29,33660002000.0,29.03,14818568000.0,12.78,-639572000.0,-0.55,20307514000.0,17.52,14363538000.0,12.39,115940429000.0,100.0,115940429000.0,100.0,7733584000.0,9998895000.0,2265311000.0,2906289000.0,-1197843000.0,4092824000.0,893624000.0,2089605000.0,-156659000.0,2089605000.0,-221472000.0,-942457000.0,547151000.0,0.13910941447559091
2017-11-15,1605.TW,42152844000.0,1.06,3511008000.0,3561207000.0,3561207000.0,2637036000.0,47835693000.0,1892370000.0,6198243000.0,33660002000.0,28.36,15719796000.0,13.25,9159219000.0,7.72,55158803000.0,46.48,24743273000.0,20.85,70646219000.0,68949608000.0,58.1,59.53,48031022000.0,40.47,63518438000.0,53.52,23287749000.0,19.62,33660002000.0,28.36,4464982000.0,3.76,2011925000.0,1.7,20419970000.0,17.21,17873803000.0,15.06,118677241000.0,100.0,118677241000.0,100.0,7733584000.0,9159219000.0,1425635000.0,4873871000.0,-1095161000.0,5596812000.0,1331867000.0,7543182000.0,-251200000.0,7543182000.0,-369695000.0,-1418949000.0,171200000.0,0.16286245576288969
