date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,5871.TW,3224883000.0,1.56,1709446000.0,1795176000.0,1795176000.0,-196315000.0,8503049000.0,592734000.0,1598861000.0,10954134000.0,4.46,9407459000.0,3.83,12872757000.0,5.25,193380132000.0,78.81,155102752000.0,63.21,38027942000.0,35853252000.0,14.61,15.5,207352899000.0,84.5,52000709000.0,21.19,52250147000.0,21.29,10954134000.0,4.46,87778585000.0,35.77,1649395000.0,0.67,9127712000.0,3.72,13842264000.0,5.64,245380841000.0,100.0,245380841000.0,100.0,8330204000.0,12867143000.0,4536939000.0,3239363000.0,1372437000.0,-128369000.0,382037000.0,2387910000.0,-5031260000.0,2387910000.0,-1159686000.0,-40024000.0,-2399491000.0,
2015-08-15,5871.TW,3824457000.0,1.44,1706985000.0,1790061000.0,1790061000.0,-478522000.0,9092260000.0,653679000.0,1311539000.0,11392299000.0,4.57,9407341000.0,3.78,10577561000.0,4.25,196000033000.0,78.67,171292828000.0,68.76,36051671000.0,34116939000.0,13.69,14.47,213081959000.0,85.53,53133597000.0,21.33,41789131000.0,16.77,10954134000.0,4.4,101441495000.0,40.72,1273373000.0,0.51,9283891000.0,3.73,12043926000.0,4.83,249133630000.0,100.0,249133630000.0,100.0,8330204000.0,10556820000.0,2226616000.0,1803078000.0,786781000.0,-4144664000.0,769113000.0,4831650000.0,-10051209000.0,4831650000.0,-2419857000.0,-65223000.0,-4601619000.0,-0.21593129470442293
2015-11-15,5871.TW,3732827000.0,1.52,1731694000.0,1816211000.0,1816211000.0,915209000.0,9313672000.0,613322000.0,2731420000.0,11392300000.0,4.32,9407341000.0,3.57,10488396000.0,3.98,209798434000.0,79.57,181269997000.0,68.75,38783092000.0,36782802000.0,13.95,14.71,224889347000.0,85.29,53874005000.0,20.43,43619350000.0,16.54,11392300000.0,4.32,101145531000.0,38.36,2207541000.0,0.84,9891185000.0,3.75,13775620000.0,5.22,263672439000.0,100.0,263672439000.0,100.0,8330204000.0,10488396000.0,2158192000.0,5988825000.0,-588307000.0,-2913351000.0,1183369000.0,7261183000.0,-15315987000.0,7261183000.0,-3759250000.0,-106047000.0,-6843335000.0,0.00690211819236957
2016-04-01,5871.TW,4100428000.0,1.5,1715147000.0,1792485000.0,1792485000.0,-545037000.0,9918999000.0,581142000.0,1247448000.0,11392300000.0,4.26,9407395000.0,3.52,11097812000.0,4.15,210995067000.0,78.86,185123152000.0,69.19,40030539000.0,37887041000.0,14.16,14.96,227539283000.0,85.04,56574755000.0,21.14,42416131000.0,15.85,11392300000.0,4.26,101747552000.0,38.03,1590265000.0,0.59,9932658000.0,3.71,15497081000.0,5.79,267569822000.0,100.0,267569822000.0,100.0,8330204000.0,11093264000.0,2763060000.0,7276553000.0,-1099638000.0,-5806546000.0,1611411000.0,9634810000.0,-20985808000.0,9634810000.0,-4966118000.0,-143316000.0,-9343065000.0,0.006278173512647012
2016-05-16,5871.TW,3247374000.0,1.42,1621126000.0,1703617000.0,1703617000.0,-151355000.0,8771600000.0,595317000.0,1552262000.0,11392300000.0,4.16,9407395000.0,3.44,11910953000.0,4.35,214295323000.0,78.29,188359137000.0,68.81,41582801000.0,39345717000.0,14.37,15.19,232144728000.0,84.81,59432206000.0,21.71,43785591000.0,16.0,11392300000.0,4.16,103025853000.0,37.64,1428053000.0,0.52,9931587000.0,3.63,17117969000.0,6.25,273727529000.0,100.0,273727529000.0,100.0,11093264000.0,11894238000.0,800974000.0,1597221000.0,-742676000.0,-2292972000.0,437710000.0,2298934000.0,-5439951000.0,2298934000.0,-1215374000.0,-11975000.0,-2459843000.0,-0.2813282889613116
2016-08-15,5871.TW,3712322000.0,1.68,1907232000.0,1994082000.0,1994082000.0,-851728000.0,9558912000.0,735895000.0,1142354000.0,11392300000.0,4.1,9348811000.0,3.36,11431901000.0,4.11,216577516000.0,77.88,191159911000.0,68.74,38904741000.0,36803804000.0,13.23,13.99,239196820000.0,86.01,61524045000.0,22.12,48036909000.0,17.27,11392300000.0,4.1,104675328000.0,37.64,569105000.0,0.2,10130345000.0,3.64,15493588000.0,5.57,278101561000.0,100.0,278101561000.0,100.0,11093264000.0,11431901000.0,338637000.0,1150800000.0,-374505000.0,-5919220000.0,885977000.0,5028911000.0,-10918658000.0,5028911000.0,-2394648000.0,-39760000.0,-4579167000.0,0.09611879629986649
2016-11-15,5871.TW,3667910000.0,1.68,1922433000.0,2012352000.0,2012352000.0,-989196000.0,9642687000.0,572626000.0,1023156000.0,11392300000.0,4.07,9348811000.0,3.34,15645810000.0,5.58,218581568000.0,78.01,184492913000.0,65.85,39929592000.0,37803095000.0,13.49,14.25,240257218000.0,85.75,61605242000.0,21.99,55764305000.0,19.9,11392300000.0,4.07,100321916000.0,35.81,-354037000.0,-0.13,10322312000.0,3.68,17416021000.0,6.22,280186810000.0,100.0,280186810000.0,100.0,11093264000.0,15628166000.0,4534902000.0,7522764000.0,1616676000.0,-2953104000.0,1369504000.0,7613889000.0,-16447360000.0,7613889000.0,-3492490000.0,-68088000.0,-6848860000.0,-0.03632578622608356
2017-04-01,5871.TW,3704391000.0,1.58,1792477000.0,1874268000.0,1874268000.0,-297949000.0,10034577000.0,568497000.0,1576319000.0,11392300000.0,3.98,9391481000.0,3.28,12936615000.0,4.52,220240023000.0,76.98,189812595000.0,66.35,41508228000.0,39310443000.0,13.74,14.51,244575230000.0,85.49,65843435000.0,23.02,54762635000.0,19.14,11392300000.0,3.98,105463562000.0,36.86,-674779000.0,-0.24,10336214000.0,3.61,19201441000.0,6.71,286083458000.0,100.0,286083458000.0,100.0,11093264000.0,12935342000.0,1842078000.0,4073685000.0,2415575000.0,-10553357000.0,1866849000.0,10056654000.0,-22092830000.0,10056654000.0,-4629050000.0,-96211000.0,-8970378000.0,0.30304505490021755
2017-05-16,5871.TW,3465143000.0,1.89,2156444000.0,2238499000.0,2238499000.0,-1069868000.0,9371051000.0,741613000.0,1168631000.0,11392300000.0,4.02,9391481000.0,3.32,12836133000.0,4.53,216500421000.0,76.42,187041016000.0,66.02,283292359000.0,40371573000.0,14.25,100.0,240615500000.0,84.94,66791938000.0,23.58,53574484000.0,18.91,11392300000.0,4.02,105333156000.0,37.18,-1770093000.0,-0.62,10095475000.0,3.56,21357885000.0,7.54,283292359000.0,100.0,283292359000.0,100.0,12935342000.0,12833345000.0,-101997000.0,-334774000.0,272682000.0,-4387994000.0,508700000.0,2980112000.0,-5671072000.0,2980112000.0,-1130782000.0,-17782000.0,-2584595000.0,0.18094375648521463
2017-08-15,5871.TW,3767187000.0,1.93,2192198000.0,2277137000.0,2277137000.0,281729000.0,9856134000.0,789715000.0,2558866000.0,11392300000.0,3.89,9391481000.0,3.21,12005633000.0,4.1,223441500000.0,76.35,200683277000.0,68.57,292661919000.0,38937838000.0,13.3,100.0,251523490000.0,85.94,69220419000.0,23.65,50840213000.0,17.37,11392300000.0,3.89,114021162000.0,38.96,-1522644000.0,-0.52,10101133000.0,3.45,19676701000.0,6.72,292661919000.0,100.0,292661919000.0,100.0,12935342000.0,11968961000.0,-966381000.0,-844863000.0,162956000.0,-8424764000.0,1022947000.0,6046964000.0,-11374024000.0,6046964000.0,-2303892000.0,-38047000.0,-5514005000.0,0.07529067845411147
