date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,2360.TW,1126520000.0,0.33,123338000.0,113557000.0,113557000.0,-51683000.0,1923763000.0,29809000.0,61874000.0,3787863000.0,25.35,1265212000.0,8.47,2180014000.0,14.59,9093965000.0,60.85,2846933000.0,19.05,9443870000.0,9333681000.0,62.46,63.19,5500736000.0,36.81,5850641000.0,39.15,2653803000.0,17.76,3787821000.0,25.35,277962000.0,1.86,455167000.0,3.05,2675827000.0,17.9,3861153000.0,25.84,14944606000.0,100.0,14944606000.0,100.0,1847648000.0,2180014000.0,332366000.0,806587000.0,-272265000.0,831190000.0,79950000.0,143366000.0,-5200000.0,143366000.0,-10799000.0,-30099000.0,100370000.0,
2015-08-15,2360.TW,1569361000.0,1.01,381251000.0,371138000.0,371138000.0,-122822000.0,2709486000.0,74165000.0,248316000.0,3787863000.0,24.1,1273532000.0,8.1,2573727000.0,16.38,9947961000.0,63.3,4324098000.0,27.51,8748336000.0,8606075000.0,54.76,55.67,6967532000.0,44.33,5767907000.0,36.7,2643434000.0,16.82,3787863000.0,24.1,776009000.0,4.94,332948000.0,2.12,2744175000.0,17.46,3247446000.0,20.66,15715868000.0,100.0,15715868000.0,100.0,1847648000.0,2573727000.0,726079000.0,1365953000.0,-443852000.0,1533138000.0,159792000.0,588669000.0,-12721000.0,588669000.0,-21353000.0,-159074000.0,176401000.0,-0.16346242319296783
2015-11-15,2360.TW,1361320000.0,1.28,481853000.0,476176000.0,476176000.0,144186000.0,2498058000.0,101041000.0,620362000.0,3800029000.0,23.91,1282745000.0,8.07,1949853000.0,12.27,10009664000.0,62.97,3655889000.0,23.0,9390385000.0,9249915000.0,58.19,59.08,6504818000.0,40.92,5885539000.0,37.03,2848929000.0,17.92,3787863000.0,23.83,493681000.0,3.11,473556000.0,2.98,2781628000.0,17.5,3729299000.0,23.46,15895203000.0,100.0,15895203000.0,100.0,1847648000.0,1949853000.0,102205000.0,1276630000.0,-716971000.0,1546770000.0,244638000.0,1165886000.0,-20920000.0,1165886000.0,-31643000.0,-327201000.0,188502000.0,0.02098455871542991
2016-04-01,2360.TW,1413560000.0,0.66,250115000.0,233671000.0,233671000.0,-101421000.0,2561058000.0,83115000.0,132250000.0,3791699000.0,23.61,1302269000.0,8.11,2489289000.0,15.5,9632600000.0,59.98,3112654000.0,19.38,9531296000.0,9410104000.0,58.59,59.35,6529143000.0,40.65,6427839000.0,40.02,3416489000.0,21.27,3791699000.0,23.61,300913000.0,1.87,399665000.0,2.49,2767608000.0,17.23,3952185000.0,24.61,16060439000.0,100.0,16060439000.0,100.0,1847648000.0,2489289000.0,641641000.0,2268553000.0,-1167705000.0,2552064000.0,329582000.0,1482672000.0,-28503000.0,1482672000.0,-24064000.0,-960436000.0,334931000.0,0.0975832506586169
2016-05-16,2360.TW,1456745000.0,0.85,321016000.0,305990000.0,305990000.0,-20770000.0,2610119000.0,66276000.0,285220000.0,3806312000.0,23.01,1342876000.0,8.12,2230963000.0,13.49,9957422000.0,60.21,3484609000.0,21.07,9871947000.0,9766487000.0,59.05,59.69,6666824000.0,40.31,6581349000.0,39.79,3182215000.0,19.24,3791699000.0,22.93,345495000.0,2.09,380548000.0,2.3,2765744000.0,16.72,4272465000.0,25.83,16538771000.0,100.0,16538771000.0,100.0,2489289000.0,2230963000.0,-258326000.0,390852000.0,-630631000.0,409912000.0,86183000.0,372266000.0,-5037000.0,372266000.0,-7225000.0,-45827000.0,124720000.0,0.11504127327852033
2016-08-15,2360.TW,1358740000.0,1.17,442835000.0,437508000.0,437508000.0,-73550000.0,2682225000.0,106558000.0,363958000.0,3807441000.0,21.88,1397661000.0,8.03,2691970000.0,15.47,10881583000.0,62.54,4741918000.0,27.25,9465575000.0,9281318000.0,53.34,54.4,7933445000.0,45.6,6517437000.0,37.46,3191527000.0,18.34,3796935000.0,21.82,374247000.0,2.15,306830000.0,1.76,2765935000.0,15.9,3805100000.0,21.87,17399020000.0,100.0,17399020000.0,100.0,2489289000.0,2667857000.0,178568000.0,593518000.0,-503811000.0,736242000.0,169572000.0,916332000.0,-10322000.0,916332000.0,-16906000.0,-95333000.0,212548000.0,0.20913113257950688
2016-11-15,2360.TW,1916436000.0,1.52,574323000.0,566885000.0,566885000.0,-82912000.0,3556991000.0,117234000.0,483973000.0,3908245000.0,21.69,1765142000.0,9.8,2273006000.0,12.62,10716243000.0,59.48,4523807000.0,25.11,10248913000.0,10075654000.0,55.92,56.89,7767745000.0,43.11,7300415000.0,40.52,3243938000.0,18.01,3833732000.0,21.28,983073000.0,5.46,58558000.0,0.33,2714489000.0,15.07,4379423000.0,24.31,18016658000.0,100.0,18016658000.0,100.0,2489289000.0,2273006000.0,-216283000.0,978469000.0,-1359027000.0,1263696000.0,253550000.0,1600451000.0,-13845000.0,1600451000.0,-26311000.0,-1013670000.0,362748000.0,-0.06819889832640767
2017-04-01,2360.TW,1464329000.0,0.99,381761000.0,385183000.0,385183000.0,-45920000.0,2775034000.0,56423000.0,339263000.0,3898872000.0,20.92,1960159000.0,10.52,3149970000.0,16.91,11212692000.0,60.18,4723411000.0,25.35,10787851000.0,10616627000.0,56.98,57.9,7844927000.0,42.1,7420086000.0,39.82,3121516000.0,16.75,3898872000.0,20.92,1133169000.0,6.08,58035000.0,0.31,2714127000.0,14.57,4735275000.0,25.41,18632778000.0,100.0,18632778000.0,100.0,2489289000.0,3149970000.0,660681000.0,2001095000.0,-1107550000.0,2296162000.0,336514000.0,2042057000.0,-19323000.0,2042057000.0,-39795000.0,-201999000.0,380021000.0,0.13797421941774743
2017-05-16,2360.TW,1409290000.0,0.75,287677000.0,281726000.0,281726000.0,-178284000.0,2775706000.0,68153000.0,103442000.0,4060312000.0,22.83,2793809000.0,15.71,2259829000.0,12.71,10399725000.0,58.48,4119841000.0,23.17,17783722000.0,11745320000.0,66.05,100.0,5878159000.0,33.05,7383997000.0,41.52,1758318000.0,9.89,3898872000.0,21.92,1003577000.0,5.64,-96290000.0,-0.54,2671032000.0,15.02,5023203000.0,28.25,17783722000.0,100.0,17783722000.0,100.0,3149970000.0,2259829000.0,-890141000.0,-234758000.0,-241427000.0,-229892000.0,77680000.0,349879000.0,-6576000.0,349879000.0,-10499000.0,-40721000.0,229823000.0,0.05577689687796758
2017-08-15,2360.TW,1534668000.0,1.3,516573000.0,510385000.0,510385000.0,-84000.0,2984321000.0,121285000.0,510301000.0,4083528000.0,21.38,2980848000.0,15.61,4066790000.0,21.29,11662252000.0,61.05,6144463000.0,32.17,19101472000.0,11161992000.0,58.44,100.0,7735026000.0,40.49,7439220000.0,38.95,1590563000.0,8.33,4052754000.0,21.22,1082009000.0,5.66,-91898000.0,-0.48,2648846000.0,13.87,4225351000.0,22.12,19101472000.0,100.0,19101472000.0,100.0,3149970000.0,4066790000.0,916820000.0,403007000.0,665142000.0,599962000.0,156217000.0,981549000.0,-12582000.0,981549000.0,-19407000.0,-185883000.0,236082000.0,0.029793621880667746
