date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,3443.TW,1212183000.0,0.83,111140000.0,111140000.0,111140000.0,-2117000.0,1732477000.0,20455000.0,109023000.0,1340119000.0,24.61,29853000.0,0.55,3207987000.0,58.9,4828459000.0,88.66,1814458000.0,33.32,3542632000.0,3542632000.0,65.05,65.05,1903531000.0,34.95,617704000.0,11.34,89073000.0,1.64,1340119000.0,24.61,733764000.0,13.47,-2469000.0,-0.05,334676000.0,6.15,2175129000.0,39.94,5446163000.0,100.0,5446163000.0,100.0,2852856000.0,3207987000.0,355131000.0,397489000.0,-40329000.0,399716000.0,17890000.0,131595000.0,-3810000.0,131595000.0,-5000.0,-9315000.0,46467000.0,
2015-08-15,3443.TW,1441954000.0,0.66,89079000.0,89079000.0,89079000.0,-2219000.0,1947926000.0,19158000.0,86860000.0,1340119000.0,24.23,29853000.0,0.54,3001389000.0,54.26,4890683000.0,88.42,2213180000.0,40.01,3227456000.0,3227456000.0,58.35,58.35,2304016000.0,41.65,640789000.0,11.58,90836000.0,1.64,1340119000.0,24.23,734704000.0,13.28,-4688000.0,-0.08,345081000.0,6.24,1862172000.0,33.67,5531472000.0,100.0,5531472000.0,100.0,2852856000.0,3001389000.0,148533000.0,256257000.0,-88554000.0,260648000.0,35887000.0,239832000.0,-7607000.0,239832000.0,-16000.0,-27845000.0,95359000.0,-0.09622262818314792
2015-11-15,3443.TW,1544955000.0,0.92,123175000.0,123175000.0,123175000.0,8980000.0,2089825000.0,22821000.0,132155000.0,1340119000.0,25.93,29853000.0,0.58,2846389000.0,55.08,4537315000.0,87.81,1713452000.0,33.16,3359611000.0,3359611000.0,65.02,65.02,1807753000.0,34.98,630049000.0,12.19,94301000.0,1.82,1340119000.0,25.93,815200000.0,15.78,4292000.0,0.08,359031000.0,6.95,1985347000.0,38.42,5167364000.0,100.0,5167364000.0,100.0,2852856000.0,2846389000.0,-6467000.0,612194000.0,-205177000.0,650523000.0,54283000.0,385828000.0,-11453000.0,385828000.0,-43000.0,-66434000.0,151187000.0,0.006034789636182511
2016-04-01,3443.TW,1369065000.0,1.28,170846000.0,170846000.0,170846000.0,-2879000.0,1991904000.0,25600000.0,167967000.0,1340119000.0,24.81,29853000.0,0.55,3153324000.0,58.38,4800051000.0,88.86,1815933000.0,33.62,3527578000.0,3527578000.0,65.3,65.3,1874230000.0,34.7,601757000.0,11.14,58297000.0,1.08,1340119000.0,24.81,1168262000.0,21.63,3226000.0,0.06,357343000.0,6.62,2154380000.0,39.88,5401808000.0,100.0,5401808000.0,100.0,2852856000.0,3153324000.0,300468000.0,934075000.0,-219206000.0,975494000.0,73497000.0,582274000.0,-15034000.0,582274000.0,-43000.0,-78261000.0,203956000.0,0.12132811462049063
2016-05-16,3443.TW,1579855000.0,1.19,159654000.0,159654000.0,159654000.0,-1154000.0,2220117000.0,31007000.0,158500000.0,1340119000.0,23.49,29853000.0,0.52,3379121000.0,59.22,5131284000.0,89.93,1962585000.0,34.4,3686078000.0,3686078000.0,64.6,64.6,2019564000.0,35.4,574358000.0,10.07,56979000.0,1.0,1340119000.0,23.49,1193353000.0,20.92,2072000.0,0.04,369338000.0,6.47,2314034000.0,40.56,5705642000.0,100.0,5705642000.0,100.0,3153324000.0,3379121000.0,225797000.0,273958000.0,-46796000.0,275072000.0,20193000.0,190661000.0,-3991000.0,190661000.0,0.0,-36059000.0,51368000.0,-0.41099778816547783
2016-08-15,3443.TW,1365742000.0,0.75,100968000.0,100968000.0,100968000.0,2146000.0,1917910000.0,11943000.0,103114000.0,1340119000.0,22.63,29853000.0,0.5,3288624000.0,55.54,5177953000.0,87.45,2390290000.0,40.37,3387156000.0,3387156000.0,57.21,57.21,2533897000.0,42.79,743100000.0,12.55,143607000.0,2.43,1340119000.0,22.63,1337667000.0,22.59,4218000.0,0.07,351695000.0,5.94,2012966000.0,34.0,5921053000.0,100.0,5921053000.0,100.0,3153324000.0,3288624000.0,135300000.0,244150000.0,-108620000.0,259838000.0,40292000.0,303572000.0,-7557000.0,303572000.0,0.0,-49783000.0,103370000.0,0.19088053887507167
2016-11-15,3443.TW,1795925000.0,1.01,134937000.0,134937000.0,134937000.0,-4441000.0,2388492000.0,23193000.0,130496000.0,1340119000.0,23.53,29853000.0,0.52,3083170000.0,54.14,4969504000.0,87.26,2025178000.0,35.56,3517652000.0,3517652000.0,61.77,61.77,2177094000.0,38.23,725242000.0,12.74,151916000.0,2.67,1340119000.0,23.53,1480172000.0,25.99,-223000.0,0.0,338903000.0,5.95,2147903000.0,37.72,5694746000.0,100.0,5694746000.0,100.0,3153324000.0,3083170000.0,-70154000.0,495254000.0,-158996000.0,548618000.0,59009000.0,461702000.0,-10871000.0,461702000.0,0.0,-50973000.0,152598000.0,-0.059109492009861396
2017-04-01,3443.TW,2159392000.0,1.16,155523000.0,155523000.0,155523000.0,-677000.0,2763902000.0,16831000.0,154846000.0,1340119000.0,20.57,29853000.0,0.46,3950540000.0,60.64,5797301000.0,88.99,2727698000.0,41.87,3672498000.0,3672498000.0,56.37,56.37,2842051000.0,43.63,717248000.0,11.01,114353000.0,1.76,1340119000.0,20.57,1198412000.0,18.4,-1514000.0,-0.02,385302000.0,5.91,2304040000.0,35.37,6514549000.0,100.0,6514549000.0,100.0,3153324000.0,3950540000.0,797216000.0,1408049000.0,-204509000.0,1464288000.0,77797000.0,634056000.0,-14312000.0,634056000.0,0.0,-69217000.0,223443000.0,0.1933083519483805
2017-05-16,3443.TW,1821541000.0,1.07,142986000.0,142986000.0,142986000.0,-8623000.0,2408714000.0,25723000.0,134363000.0,1340119000.0,21.91,29853000.0,0.49,3576432000.0,58.48,5444109000.0,89.03,2197437000.0,35.93,6115154000.0,3806861000.0,62.25,100.0,2308293000.0,37.75,671045000.0,10.97,110856000.0,1.81,1340119000.0,21.91,1485324000.0,24.29,-10137000.0,-0.17,379315000.0,6.2,2447026000.0,40.02,6115154000.0,100.0,6115154000.0,100.0,3950540000.0,3576432000.0,-374108000.0,-298599000.0,-67712000.0,-298160000.0,21663000.0,168709000.0,-3859000.0,168709000.0,-60000.0,-57389000.0,46702000.0,0.01136624168062811
2017-08-15,3443.TW,1978169000.0,1.29,173925000.0,173925000.0,173925000.0,1349000.0,2698920000.0,28229000.0,175274000.0,1340119000.0,19.7,29853000.0,0.44,2984494000.0,43.87,6170163000.0,90.7,3223876000.0,47.39,6802662000.0,3513093000.0,51.64,100.0,3289569000.0,48.36,632499000.0,9.3,65693000.0,0.97,1340119000.0,19.7,2218560000.0,32.61,-8788000.0,-0.13,365383000.0,5.37,2151909000.0,31.63,6802662000.0,100.0,6802662000.0,100.0,3950540000.0,2984494000.0,-966046000.0,-348011000.0,-142382000.0,-308137000.0,43360000.0,370863000.0,-8024000.0,370863000.0,-60000.0,-74704000.0,102910000.0,0.23801033356705273
2017-11-15,3443.TW,2662942000.0,1.24,166020000.0,166020000.0,166020000.0,16000.0,3413986000.0,27851000.0,166036000.0,1340119000.0,17.62,29853000.0,0.39,4484571000.0,58.96,6993169000.0,91.95,3857280000.0,50.72,7605751000.0,3679129000.0,48.37,100.0,3926622000.0,51.63,612582000.0,8.05,69342000.0,0.91,1340119000.0,17.62,2341620000.0,30.79,-8772000.0,-0.12,367191000.0,4.83,2317929000.0,30.48,7605751000.0,100.0,7605751000.0,100.0,3950540000.0,4484571000.0,534031000.0,1183800000.0,-174181000.0,1265000000.0,64536000.0,564734000.0,-12296000.0,564734000.0,-60000.0,-98387000.0,160338000.0,0.16927265938259883
2018-04-01,3443.TW,2532857000.0,2.78,371878000.0,371878000.0,371878000.0,-6411000.0,3638986000.0,52000000.0,365467000.0,1340119000.0,16.15,32513000.0,0.39,5090202000.0,61.36,7425101000.0,89.51,4146106000.0,49.98,4047256000.0,4047256000.0,48.79,48.79,4248240000.0,51.21,870395000.0,10.49,102134000.0,1.23,1340119000.0,16.15,2207426000.0,26.61,-10940000.0,-0.13,473250000.0,5.7,2685564000.0,32.37,8295496000.0,100.0,8295496000.0,100.0,3950540000.0,5090202000.0,1139662000.0,1927531000.0,-312847000.0,2013615000.0,89877000.0,988612000.0,-16857000.0,988612000.0,-60000.0,-143081000.0,224263000.0,0.06466639917665015
2018-05-16,3443.TW,1827491000.0,1.54,206599000.0,206599000.0,206599000.0,-44000.0,2758374000.0,31894000.0,206555000.0,1340119000.0,15.12,32543000.0,0.37,4736582000.0,53.44,7700129000.0,86.88,4459201000.0,50.31,8863077000.0,4253841000.0,48.0,100.0,4609236000.0,52.0,1162948000.0,13.12,150035000.0,1.69,1340119000.0,15.12,587756000.0,6.63,-10984000.0,-0.12,693024000.0,7.82,2892163000.0,32.63,8863077000.0,100.0,8863077000.0,100.0,5090202000.0,4736582000.0,-353620000.0,-171038000.0,-182268000.0,-165485000.0,37648000.0,238493000.0,-5689000.0,238493000.0,0.0,-138875000.0,80997000.0,-0.08710255200012097
2018-08-15,3443.TW,2232253000.0,1.68,224728000.0,224728000.0,224728000.0,4231000.0,3234039000.0,41086000.0,228959000.0,1340119000.0,14.38,32543000.0,0.35,4595790000.0,49.33,8119673000.0,87.15,5320672000.0,57.11,9317152000.0,3812740000.0,40.92,100.0,5504412000.0,59.08,1197479000.0,12.85,183740000.0,1.97,1340119000.0,14.38,902751000.0,9.69,-6753000.0,-0.07,690182000.0,7.41,2446831000.0,26.26,9317152000.0,100.0,9317152000.0,100.0,5090202000.0,4595790000.0,-494412000.0,632143000.0,-460181000.0,710497000.0,82256000.0,504307000.0,-11313000.0,504307000.0,0.0,-351883000.0,192505000.0,0.07195981400523828
2018-11-15,3443.TW,2815885000.0,2.09,280400000.0,280400000.0,280400000.0,-4947000.0,3915412000.0,45999000.0,275453000.0,1340119000.0,13.87,32543000.0,0.34,4608588000.0,47.7,8440112000.0,87.36,5395500000.0,55.85,4088193000.0,4088193000.0,42.32,42.32,5572833000.0,57.68,1220914000.0,12.64,177333000.0,1.84,1340119000.0,13.87,873598000.0,9.04,-11700000.0,-0.12,783166000.0,8.11,2727231000.0,28.23,9661026000.0,100.0,9661026000.0,100.0,5090202000.0,4608588000.0,-481614000.0,723735000.0,-534869000.0,822408000.0,129794000.0,830706000.0,-18665000.0,830706000.0,0.0,-419252000.0,290467000.0,-0.14140129164821652
2019-04-01,3443.TW,2567133000.0,2.06,276429000.0,276429000.0,276429000.0,1282000.0,3551979000.0,28349000.0,277711000.0,1340119000.0,16.53,32543000.0,0.4,3906191000.0,48.17,6628659000.0,81.74,3634856000.0,44.82,8109240000.0,4365904000.0,53.84,100.0,3743336000.0,46.16,1480581000.0,18.26,108480000.0,1.34,1340119000.0,16.53,875634000.0,10.8,-8636000.0,-0.11,1088524000.0,13.42,3001878000.0,37.02,8109240000.0,100.0,8109240000.0,100.0,5090202000.0,3906191000.0,-1184011000.0,227058000.0,-743196000.0,330474000.0,186767000.0,1135484000.0,-26557000.0,1135484000.0,0.0,-528911000.0,398945000.0,0.0617181973867155
2019-05-16,3443.TW,1753183000.0,1.14,152677000.0,152677000.0,152677000.0,3677000.0,2561295000.0,36943000.0,156354000.0,1340119000.0,17.84,32578000.0,0.43,3330879000.0,44.34,5901096000.0,78.55,2724019000.0,36.26,7512226000.0,4522293000.0,60.2,100.0,2989933000.0,39.8,1611130000.0,21.45,265914000.0,3.54,1340119000.0,17.84,596432000.0,7.94,-4959000.0,-0.07,1051187000.0,13.99,3154555000.0,41.99,7512226000.0,100.0,7512226000.0,100.0,3906191000.0,3330879000.0,-575312000.0,-172453000.0,-392950000.0,-168306000.0,85352000.0,189620000.0,-7800000.0,189620000.0,-708000.0,-364033000.0,137310000.0,0.09915866652008151
2019-08-15,3443.TW,1614219000.0,0.77,103778000.0,103778000.0,103778000.0,533000.0,2426384000.0,21162000.0,104311000.0,1340119000.0,18.46,32578000.0,0.45,2446060000.0,33.69,5438654000.0,74.9,2910737000.0,40.09,3956544000.0,3956544000.0,54.49,54.49,3304294000.0,45.51,1822184000.0,25.1,393557000.0,5.42,1340119000.0,18.46,846997000.0,11.67,-4426000.0,-0.06,990864000.0,13.65,2588273000.0,35.65,7260838000.0,100.0,7260838000.0,100.0,3906191000.0,2446060000.0,-1460131000.0,-242810000.0,-524283000.0,-94373000.0,172860000.0,314560000.0,-14137000.0,314560000.0,-1432000.0,-407797000.0,308069000.0,0.018382865087647533
2019-11-15,3443.TW,1597013000.0,0.76,101753000.0,101753000.0,101753000.0,-6441000.0,2425458000.0,27119000.0,95312000.0,1340119000.0,16.96,32578000.0,0.41,2972719000.0,37.62,6150319000.0,77.83,3418799000.0,43.26,7902731000.0,4051856000.0,51.27,100.0,3850875000.0,48.73,1752412000.0,22.17,432076000.0,5.47,1340119000.0,16.96,825337000.0,10.44,-10867000.0,-0.14,924561000.0,11.7,2690026000.0,34.04,7902731000.0,100.0,7902731000.0,100.0,3906191000.0,2972719000.0,-933472000.0,385839000.0,-605829000.0,539772000.0,259454000.0,443432000.0,-19471000.0,443432000.0,-2361000.0,-418823000.0,451749000.0,0.1679028703108386
2020-04-01,3443.TW,2215642000.0,2.06,275259000.0,275259000.0,275259000.0,-14141000.0,3296931000.0,64411000.0,261118000.0,1340119000.0,16.07,32578000.0,0.39,2541628000.0,30.47,6615928000.0,79.32,3638237000.0,43.62,4312974000.0,4312974000.0,51.71,51.71,4027741000.0,48.29,1724787000.0,20.68,389504000.0,4.67,1340119000.0,16.07,727853000.0,8.73,-20745000.0,-0.25,982487000.0,11.78,2961022000.0,35.5,8340715000.0,100.0,8340715000.0,100.0,3906191000.0,2541628000.0,-1364563000.0,107953000.0,-735395000.0,264220000.0,345217000.0,783102000.0,-25397000.0,783102000.0,-3337000.0,-490304000.0,584108000.0,-0.12083300240736174
2020-05-16,3443.TW,2405364000.0,0.74,98742000.0,98742000.0,98742000.0,-1519000.0,3169867000.0,31035000.0,97223000.0,1340119000.0,16.4,32618000.0,0.4,2586174000.0,31.65,6438756000.0,78.81,3331875000.0,40.78,4410237000.0,4410237000.0,53.98,53.98,3759900000.0,46.02,1731381000.0,21.19,428025000.0,5.24,1340119000.0,16.4,645355000.0,7.9,-22264000.0,-0.27,929825000.0,11.38,3059764000.0,37.45,8170137000.0,100.0,8170137000.0,100.0,2541628000.0,2586174000.0,44546000.0,217825000.0,-156992000.0,223311000.0,91594000.0,129777000.0,-4499000.0,129777000.0,-971000.0,-75918000.0,165509000.0,0.20776937175723273
2020-08-15,3443.TW,2153312000.0,0.27,36761000.0,36761000.0,36761000.0,-6903000.0,2926798000.0,18054000.0,29858000.0,1340119000.0,15.39,32618000.0,0.37,3179715000.0,36.51,7112688000.0,81.68,4578300000.0,52.57,8708467000.0,3770035000.0,43.29,100.0,4938432000.0,56.71,1595779000.0,18.32,360132000.0,4.14,1340119000.0,15.39,767915000.0,8.82,-29167000.0,-0.33,892190000.0,10.25,2426465000.0,27.86,8708467000.0,100.0,8708467000.0,100.0,2541628000.0,3179715000.0,638087000.0,1636134000.0,-290238000.0,1718242000.0,183706000.0,184592000.0,-7563000.0,184592000.0,-1897000.0,-122385000.0,328088000.0,0.18004028076653616
2020-11-15,3443.TW,2653674000.0,0.8,106453000.0,106453000.0,106453000.0,2564000.0,3528522000.0,16960000.0,109017000.0,1340119000.0,16.29,32618000.0,0.4,2336258000.0,28.4,6755947000.0,82.14,4007614000.0,48.72,8225054000.0,3879052000.0,47.16,100.0,4346002000.0,52.84,1469107000.0,17.86,338388000.0,4.11,1340119000.0,16.29,789084000.0,9.59,-26603000.0,-0.32,835186000.0,10.15,2532918000.0,30.8,8225054000.0,100.0,8225054000.0,100.0,2541628000.0,2336258000.0,-205370000.0,1484189000.0,-969033000.0,1571994000.0,277058000.0,308005000.0,-9732000.0,308005000.0,-2777000.0,-143895000.0,492410000.0,0.052779518206193796
2021-04-01,3443.TW,2286214000.0,4.53,608051000.0,608051000.0,608051000.0,-119000.0,3944254000.0,85507000.0,607932000.0,1340119000.0,13.75,32618000.0,0.33,3896753000.0,39.98,8218112000.0,84.32,4892132000.0,50.2,4486984000.0,4486984000.0,46.04,46.04,5258828000.0,53.96,1527700000.0,15.68,366696000.0,3.76,1340119000.0,13.75,1150230000.0,11.8,-22153000.0,-0.23,778354000.0,7.99,3136400000.0,32.18,9745812000.0,100.0,9745812000.0,100.0,2541628000.0,3896753000.0,1355125000.0,3289922000.0,-1202338000.0,3375931000.0,370910000.0,1001563000.0,-12353000.0,1001563000.0,-3625000.0,-161391000.0,658201000.0,0.06615056778511048
2021-05-16,3443.TW,2169351000.0,2.3,301079000.0,307889000.0,307889000.0,-6810000.0,3312191000.0,59962000.0,301079000.0,1340119000.0,12.79,32641000.0,0.31,4120313000.0,39.32,8963907000.0,85.55,5237364000.0,49.98,10478412000.0,4788086000.0,45.69,100.0,5690326000.0,54.31,1514505000.0,14.45,452962000.0,4.32,1340119000.0,12.79,1029193000.0,9.82,-28963000.0,-0.28,718437000.0,6.86,3444289000.0,32.87,10478412000.0,100.0,10478412000.0,100.0,3896753000.0,4120313000.0,223560000.0,1045798000.0,-801441000.0,1051824000.0,93086000.0,367851000.0,-2722000.0,367851000.0,-1219000.0,-8539000.0,147938000.0,-0.19131466667787628
2021-08-15,3443.TW,2250061000.0,1.64,212031000.0,219702000.0,219702000.0,-7671000.0,3300837000.0,55299000.0,212031000.0,1340119000.0,11.31,32641000.0,0.28,4531472000.0,38.24,10408152000.0,87.83,7042465000.0,59.43,11849819000.0,4330057000.0,36.54,100.0,7519762000.0,63.46,1441667000.0,12.17,477297000.0,4.03,1340119000.0,11.31,909711000.0,7.68,-36634000.0,-0.31,645640000.0,5.45,2993931000.0,25.27,11849819000.0,100.0,11849819000.0,100.0,3896753000.0,4531472000.0,634719000.0,2919266000.0,-1572173000.0,3021367000.0,184818000.0,642852000.0,-5887000.0,642852000.0,-2389000.0,-23843000.0,310751000.0,0.1437808821032792
2021-11-15,3443.TW,2163831000.0,3.11,415746000.0,417584000.0,417584000.0,-1838000.0,3584852000.0,73832000.0,415746000.0,1340119000.0,10.55,32641000.0,0.26,4375186000.0,34.45,11363594000.0,89.47,7498512000.0,59.04,12700980000.0,4745803000.0,37.37,100.0,7955177000.0,62.63,1337386000.0,10.53,456665000.0,3.6,1340119000.0,10.55,902682000.0,7.11,-38472000.0,-0.3,621819000.0,4.9,3411515000.0,26.86,12700980000.0,100.0,12700980000.0,100.0,3896753000.0,4375186000.0,478433000.0,2847515000.0,-1637764000.0,2964006000.0,278501000.0,1134268000.0,-9780000.0,1134268000.0,-3538000.0,-61765000.0,478065000.0,0.24142410835162753
