date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,1216.TW,70402856000.0,0.79,4299459000.0,6616277000.0,6616277000.0,-810146000.0,104940238000.0,1752853000.0,5806131000.0,54634763000.0,13.4,3927935000.0,0.96,42275252000.0,10.37,145993261000.0,35.81,149028678000.0,36.55,156130138000.0,95731381000.0,23.48,38.29,251612040000.0,61.71,261748917000.0,64.19,102583362000.0,25.16,54634763000.0,13.4,21573492000.0,5.29,3919354000.0,0.96,160597290000.0,39.39,33249329000.0,8.15,407742178000.0,100.0,407742178000.0,100.0,43858837000.0,42275252000.0,-1583585000.0,13773676000.0,-18368995000.0,14907752000.0,4808107000.0,8369130000.0,-291532000.0,8369130000.0,-656111000.0,-4447586000.0,3498323000.0,
2015-08-15,1216.TW,69097118000.0,0.81,4427878000.0,6919546000.0,6919546000.0,-2240247000.0,105025069000.0,1959784000.0,4679299000.0,56820154000.0,13.84,3945920000.0,0.96,53861825000.0,13.12,153176240000.0,37.32,166674936000.0,40.61,147658166000.0,91041212000.0,22.18,35.97,262812443000.0,64.03,257294369000.0,62.68,96137507000.0,23.42,54634763000.0,13.31,24968734000.0,6.08,2432189000.0,0.59,158470048000.0,38.61,27842949000.0,6.78,410470609000.0,100.0,410470609000.0,100.0,43858837000.0,53861825000.0,10002988000.0,24077333000.0,-11644986000.0,27000368000.0,9580325000.0,17248460000.0,-637352000.0,17248460000.0,-1343050000.0,-8039788000.0,6463128000.0,0.10418116628917677
2015-11-15,1216.TW,73342044000.0,0.61,3854960000.0,5821839000.0,5821839000.0,2259717000.0,110670088000.0,1245176000.0,8081556000.0,56820154000.0,14.07,3940601000.0,0.98,36812473000.0,9.11,141251915000.0,34.97,156299653000.0,38.7,156803828000.0,96997653000.0,24.02,38.82,247094004000.0,61.18,262645917000.0,65.03,90794351000.0,22.48,56820154000.0,14.07,25581374000.0,6.33,4538989000.0,1.12,162028047000.0,40.12,31697909000.0,7.85,403897832000.0,100.0,403897832000.0,100.0,43858837000.0,36812473000.0,-7046364000.0,39602498000.0,-26245089000.0,42673940000.0,14364736000.0,24315475000.0,-942279000.0,24315475000.0,-1677936000.0,-12226542000.0,10731793000.0,-0.05467572234416689
2016-04-01,1216.TW,65387009000.0,0.27,1525542000.0,2235503000.0,2235503000.0,-3378376000.0,95515928000.0,698382000.0,-1142873000.0,56820154000.0,14.24,3957172000.0,0.99,45034743000.0,11.29,138480338000.0,34.71,150426162000.0,37.71,155689737000.0,96336246000.0,24.15,39.03,243258752000.0,60.97,260468151000.0,65.29,92832590000.0,23.27,56820154000.0,14.24,30024358000.0,7.53,2680259000.0,0.67,160483756000.0,40.23,32878661000.0,8.24,398948489000.0,100.0,398948489000.0,100.0,43858837000.0,45034743000.0,1175906000.0,50877015000.0,-25774131000.0,54627977000.0,19229027000.0,27249360000.0,-1165238000.0,27249360000.0,-2405631000.0,-16000268000.0,16408948000.0,0.04167088910821031
2016-05-16,1216.TW,70144952000.0,0.76,4343069000.0,6398071000.0,6398071000.0,-410693000.0,106667516000.0,1582061000.0,5987378000.0,56820154000.0,14.33,3999195000.0,1.01,45417491000.0,11.46,137459969000.0,34.67,146429565000.0,36.93,161462195000.0,100258375000.0,25.29,40.73,235004906000.0,59.27,259007132000.0,65.33,88575341000.0,22.34,56820154000.0,14.33,28377532000.0,7.16,2217296000.0,0.56,158208518000.0,39.9,37221730000.0,9.39,396467101000.0,100.0,396467101000.0,100.0,45034743000.0,45417491000.0,382748000.0,14344705000.0,-12301035000.0,14631648000.0,4944745000.0,7980132000.0,-248461000.0,7980132000.0,-699212000.0,-4348045000.0,4209409000.0,0.24395081854914827
2016-08-15,1216.TW,68550432000.0,0.84,4758723000.0,7178712000.0,7178712000.0,-2866834000.0,104854989000.0,1871021000.0,4311878000.0,56820154000.0,14.36,3991720000.0,1.01,51839085000.0,13.1,147130618000.0,37.18,159125374000.0,40.21,148388255000.0,91703928000.0,23.17,37.49,247385522000.0,62.51,248643159000.0,62.82,88260148000.0,22.3,56820154000.0,14.36,20671329000.0,5.22,275632000.0,0.07,155782648000.0,39.36,30616422000.0,7.74,395773777000.0,100.0,395773777000.0,100.0,45034743000.0,51839085000.0,6804342000.0,25406251000.0,-8030346000.0,27631094000.0,9857652000.0,17029865000.0,-485001000.0,17029865000.0,-1363211000.0,-7344882000.0,7704291000.0,0.13608054462208896
2016-11-15,1216.TW,71954606000.0,0.73,4137691000.0,6250390000.0,6250390000.0,-2154919000.0,107425651000.0,2238389000.0,4095471000.0,56820154000.0,15.03,3880615000.0,1.03,40417384000.0,10.69,133122301000.0,35.21,139795081000.0,36.98,151491180000.0,93913718000.0,24.84,40.07,226587355000.0,59.93,244956234000.0,64.79,86792274000.0,22.96,56820154000.0,15.03,23081907000.0,6.11,-1541164000.0,-0.41,151285282000.0,40.01,34754113000.0,9.19,378078535000.0,100.0,378078535000.0,100.0,45034743000.0,40417384000.0,-4617359000.0,35061353000.0,-11485216000.0,37820242000.0,14353556000.0,25518644000.0,-685333000.0,25518644000.0,-1889334000.0,-10304937000.0,8966355000.0,-0.1300859397948707
2017-04-01,1216.TW,65064228000.0,0.23,1287236000.0,3848263000.0,3848263000.0,-2055157000.0,94416159000.0,1135435000.0,1793106000.0,56820154000.0,15.01,3900138000.0,1.03,56334630000.0,14.88,139819001000.0,36.93,140997934000.0,37.24,152700266000.0,94405847000.0,24.94,40.33,225885199000.0,59.67,238766464000.0,63.07,84887265000.0,22.42,56820154000.0,15.01,25836841000.0,6.82,-1823199000.0,-0.48,148760628000.0,39.29,35508754000.0,9.38,378585465000.0,100.0,378585465000.0,100.0,45034743000.0,56334630000.0,11299887000.0,55526148000.0,-10569089000.0,58756911000.0,19260833000.0,30502342000.0,-927112000.0,30502342000.0,-2352828000.0,-13348441000.0,13108445000.0,0.04065788910362623
2017-05-16,1216.TW,64046036000.0,0.79,4468589000.0,6796384000.0,6796384000.0,-4068032000.0,96114609000.0,1368678000.0,2728352000.0,56820154000.0,16.05,3901709000.0,1.1,46462223000.0,13.13,121662493000.0,34.37,127952285000.0,36.15,353964073000.0,95694262000.0,27.04,100.0,199307246000.0,56.31,232301580000.0,65.63,71354961000.0,20.16,56820154000.0,16.05,19210606000.0,5.43,-5004944000.0,-1.41,143055979000.0,40.42,39977343000.0,11.29,353964073000.0,100.0,353964073000.0,100.0,56334630000.0,46462223000.0,-9872407000.0,-2376951000.0,-1932084000.0,-2054370000.0,4545417000.0,8165062000.0,-194005000.0,8165062000.0,-542379000.0,-3529569000.0,2726680000.0,-0.07237886370873953
2017-08-15,1216.TW,66823982000.0,0.82,4706122000.0,7143660000.0,7143660000.0,1546657000.0,100103678000.0,1692983000.0,8690317000.0,56820154000.0,15.38,3880348000.0,1.05,63775258000.0,17.26,136657651000.0,36.99,137972496000.0,37.35,369434330000.0,89503527000.0,24.23,100.0,224149499000.0,60.67,232776679000.0,63.01,86177003000.0,23.33,56820154000.0,15.38,18213273000.0,4.93,-3948208000.0,-1.07,143477164000.0,38.84,32751233000.0,8.87,369434330000.0,100.0,369434330000.0,100.0,56334630000.0,63775258000.0,7440628000.0,14570908000.0,2233838000.0,16729006000.0,9078802000.0,17001705000.0,-417587000.0,17001705000.0,-1029204000.0,-7108140000.0,6369298000.0,0.058257342922221324
