date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,1102.TW,13729956000.0,0.47,1468473000.0,1542288000.0,1542288000.0,3927296000.0,15362530000.0,302412000.0,5469584000.0,33614472000.0,11.69,1073920000.0,0.37,10953430000.0,3.81,75530943000.0,26.26,67410775000.0,23.44,167234786000.0,147504932000.0,51.28,58.14,120392304000.0,41.86,212096147000.0,73.74,52981529000.0,18.42,33614472000.0,11.69,16859536000.0,5.86,16468033000.0,5.73,69163983000.0,24.05,96348507000.0,33.5,287627090000.0,100.0,287627090000.0,100.0,12739834000.0,10953430000.0,-1786404000.0,349763000.0,-3612811000.0,915805000.0,1374038000.0,1844700000.0,-99019000.0,1844700000.0,-407354000.0,-892991000.0,69294000.0,
2015-08-15,1102.TW,15092848000.0,0.92,2888526000.0,3033963000.0,3033963000.0,-3256100000.0,16890231000.0,247545000.0,-222137000.0,33614472000.0,11.83,1073920000.0,0.38,11887636000.0,4.18,63739987000.0,22.43,74595444000.0,26.24,158949052000.0,139896795000.0,49.22,55.92,125283045000.0,44.08,220492110000.0,77.57,50687601000.0,17.83,33614472000.0,11.83,19501256000.0,6.86,13366914000.0,4.7,67967681000.0,23.91,91841489000.0,32.31,284232097000.0,100.0,284232097000.0,100.0,12739834000.0,11887636000.0,-852198000.0,3828764000.0,-3308090000.0,5149212000.0,2711982000.0,5126208000.0,-218501000.0,5126208000.0,-878829000.0,-1487505000.0,-949131000.0,-0.15603959510148238
2015-11-15,1102.TW,15359881000.0,0.02,64042000.0,-169697000.0,-169697000.0,1657709000.0,16861149000.0,132576000.0,1488012000.0,33614472000.0,11.67,1096249000.0,0.38,20913228000.0,7.26,65456341000.0,22.73,69800135000.0,24.24,160453437000.0,141267577000.0,49.06,55.72,127503918000.0,44.28,222501014000.0,77.27,57703783000.0,20.04,33614472000.0,11.67,20236669000.0,7.03,14656162000.0,5.09,68587151000.0,23.82,91900694000.0,31.91,287957355000.0,100.0,287957355000.0,100.0,12739834000.0,20913228000.0,8173394000.0,10403459000.0,-1205742000.0,8614036000.0,4060164000.0,5089087000.0,-300141000.0,5089087000.0,-1083287000.0,-2270889000.0,1557627000.0,-0.06251617725054062
2016-04-01,1102.TW,15045956000.0,0.14,439200000.0,527929000.0,527929000.0,-6189434000.0,17173570000.0,1197142000.0,-5661505000.0,33614472000.0,12.45,1155643000.0,0.43,11024089000.0,4.08,52844285000.0,19.57,65223927000.0,24.15,154854192000.0,135898873000.0,50.32,57.34,115223017000.0,42.66,217232924000.0,80.43,49999090000.0,18.51,33614472000.0,12.45,23411891000.0,8.67,9576422000.0,3.55,67264573000.0,24.91,91552336000.0,33.9,270077209000.0,100.0,270077209000.0,100.0,12739834000.0,11024089000.0,-1715745000.0,13665234000.0,-2433174000.0,12208113000.0,5400304000.0,6814158000.0,-397031000.0,6814158000.0,-1491715000.0,-3479729000.0,1511103000.0,-0.006029599260947258
2016-05-16,1102.TW,12040729000.0,0.06,199130000.0,194459000.0,194459000.0,-8936360000.0,13038960000.0,88091000.0,-8741901000.0,33614472000.0,13.15,1155643000.0,0.45,10388866000.0,4.06,48453008000.0,18.95,58894214000.0,23.03,146110347000.0,127391133000.0,49.82,57.14,109582703000.0,42.86,207240042000.0,81.05,50688489000.0,19.82,33614472000.0,13.15,17161921000.0,6.71,871496000.0,0.34,65759665000.0,25.72,91749522000.0,35.88,255693050000.0,100.0,255693050000.0,100.0,11024089000.0,10388866000.0,-635223000.0,3160254000.0,401030000.0,3552671000.0,1345772000.0,282550000.0,-67983000.0,282550000.0,-329441000.0,-768689000.0,1639694000.0,-0.23401436406905482
2016-08-15,1102.TW,13435994000.0,0.39,1205901000.0,1337358000.0,1337358000.0,-2589855000.0,16028285000.0,326198000.0,-1252497000.0,33614472000.0,13.65,1155723000.0,0.47,7509140000.0,3.05,44972783000.0,18.26,61818500000.0,25.1,140637736000.0,122613060000.0,49.78,57.09,105691853000.0,42.91,201356806000.0,81.74,43873353000.0,17.81,33614472000.0,13.65,3813615000.0,1.55,-1394228000.0,-0.57,63492994000.0,25.78,89237093000.0,36.23,246329589000.0,100.0,246329589000.0,100.0,11024089000.0,7509140000.0,-3514949000.0,6644522000.0,1955607000.0,7858960000.0,2672679000.0,1946106000.0,-120721000.0,1946106000.0,-760304000.0,-639034000.0,3033237000.0,0.1659634230542406
2016-11-15,1102.TW,12965789000.0,0.3,936584000.0,1170163000.0,1170163000.0,-2522247000.0,15037038000.0,208343000.0,-1352084000.0,33614472000.0,14.09,1167204000.0,0.49,5620949000.0,2.36,41216329000.0,17.28,51580408000.0,21.62,139318938000.0,121561630000.0,50.96,58.41,99208301000.0,41.59,197310910000.0,82.72,47627893000.0,19.97,33614472000.0,14.09,4483164000.0,1.88,-3414094000.0,-1.43,60475826000.0,25.35,90194048000.0,37.81,238527239000.0,100.0,238527239000.0,100.0,11024089000.0,5620949000.0,-5403140000.0,11684573000.0,-181978000.0,10785177000.0,4057187000.0,3324612000.0,-154054000.0,3324612000.0,-1087432000.0,-995178000.0,4427925000.0,-0.060497718888038364
2017-04-01,1102.TW,13916445000.0,0.51,1604154000.0,1981317000.0,1981317000.0,-639934000.0,16841907000.0,1170660000.0,1341383000.0,33614472000.0,14.1,1167881000.0,0.49,7450006000.0,3.12,42148568000.0,17.67,40857530000.0,17.13,140663221000.0,122663077000.0,51.44,58.99,97807564000.0,41.01,196322217000.0,82.33,56950034000.0,23.88,33614472000.0,14.1,1611515000.0,0.68,-3718689000.0,-1.56,58832486000.0,24.67,91599413000.0,38.41,238470785000.0,100.0,238470785000.0,100.0,11024089000.0,7450006000.0,-3574083000.0,12817431000.0,2330984000.0,12551091000.0,5241445000.0,6476589000.0,-207661000.0,6476589000.0,-1508280000.0,-1250087000.0,4446030000.0,0.13134302289898386
2017-05-16,1102.TW,11579630000.0,0.08,236681000.0,145793000.0,145793000.0,-2431094000.0,12512699000.0,-25112000.0,-2285301000.0,33614472000.0,13.86,1167882000.0,0.48,9575355000.0,3.95,44074607000.0,18.17,49363721000.0,20.35,242555857000.0,121220375000.0,49.98,100.0,104182409000.0,42.95,198481250000.0,81.83,54818688000.0,22.6,33614472000.0,13.86,1515990000.0,0.63,-5393600000.0,-2.22,55331036000.0,22.81,91831621000.0,37.86,242555857000.0,100.0,242555857000.0,100.0,7450006000.0,9575355000.0,2125349000.0,-282365000.0,-5983834000.0,195867000.0,1218619000.0,120681000.0,-39141000.0,120681000.0,-462855000.0,-285511000.0,1611696000.0,-0.32184514312132007
2017-08-15,1102.TW,13753199000.0,0.51,1615768000.0,1949152000.0,1949152000.0,861793000.0,16298086000.0,519958000.0,2810945000.0,33614472000.0,13.56,1167449000.0,0.47,9800773000.0,3.95,53104700000.0,21.43,61225180000.0,24.7,247827318000.0,120387180000.0,48.58,100.0,110206849000.0,44.47,194722618000.0,78.57,48981669000.0,19.76,33614472000.0,13.56,7616279000.0,3.07,-4806460000.0,-1.94,55206487000.0,22.28,90411719000.0,36.48,247827318000.0,100.0,247827318000.0,100.0,7450006000.0,9800773000.0,2350767000.0,881854000.0,-8776495000.0,2404552000.0,2426222000.0,2589791000.0,-83853000.0,2589791000.0,-947527000.0,-498074000.0,2147102000.0,-0.07102024153978298
