date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,2356.TW,84037258000.0,0.41,1452970000.0,1284306000.0,1284306000.0,-213469000.0,89303408000.0,485799000.0,1070837000.0,35874751000.0,20.42,2921711000.0,1.66,36273503000.0,20.65,131336383000.0,74.77,105512930000.0,60.07,65495644000.0,58818381000.0,33.49,37.29,110156424000.0,62.71,44315685000.0,25.23,4643494000.0,2.64,35874751000.0,20.42,20725549000.0,11.8,2795614000.0,1.59,35172873000.0,20.02,17226305000.0,9.81,175652068000.0,100.0,175652068000.0,100.0,37731741000.0,36273503000.0,-1458238000.0,782758000.0,1904055000.0,939797000.0,973382000.0,1770105000.0,-598156000.0,1770105000.0,-325562000.0,-1221834000.0,534069000.0,
2015-08-15,2356.TW,85633873000.0,0.32,1170438000.0,930691000.0,930691000.0,-310208000.0,90692400000.0,455851000.0,620483000.0,35874751000.0,20.78,2922774000.0,1.69,34597658000.0,20.04,128471413000.0,74.41,107386788000.0,62.2,59840262000.0,53401438000.0,30.93,34.66,112803970000.0,65.34,44172819000.0,25.59,5417182000.0,3.14,35874751000.0,20.78,21355906000.0,12.37,2485251000.0,1.44,35346186000.0,20.47,12118662000.0,7.02,172644232000.0,100.0,172644232000.0,100.0,37731741000.0,34597658000.0,-3134083000.0,2685952000.0,-961890000.0,3317853000.0,1927219000.0,3156647000.0,-1135182000.0,3156647000.0,-540501000.0,-2613755000.0,1484464000.0,-0.16450721601988935
2015-11-15,2356.TW,99819314000.0,0.54,1943116000.0,1890617000.0,1890617000.0,649255000.0,105422624000.0,923905000.0,2539872000.0,35874751000.0,18.9,2923817000.0,1.54,29276617000.0,15.42,145658659000.0,76.72,122388179000.0,64.46,62149845000.0,55992330000.0,29.49,32.74,127705951000.0,67.26,44197137000.0,23.28,5317772000.0,2.8,35874751000.0,18.9,26267340000.0,13.84,3131984000.0,1.65,35833555000.0,18.87,14061778000.0,7.41,189855796000.0,100.0,189855796000.0,100.0,37731741000.0,29276617000.0,-8455124000.0,3208668000.0,-2085625000.0,3947580000.0,2932367000.0,5971169000.0,-1694298000.0,5971169000.0,-752736000.0,-3713922000.0,2462613000.0,0.0803142683907103
2016-04-01,2356.TW,104274368000.0,0.28,997109000.0,870121000.0,870121000.0,-371198000.0,110051789000.0,342580000.0,498923000.0,35874751000.0,20.41,2912784000.0,1.66,37123631000.0,21.12,133577659000.0,76.01,98771869000.0,56.2,62898849000.0,56480704000.0,32.14,35.79,112847624000.0,64.21,42168814000.0,23.99,14075755000.0,8.01,35874751000.0,20.41,12414601000.0,7.06,2809350000.0,1.6,34660330000.0,19.72,14883819000.0,8.47,175746473000.0,100.0,175746473000.0,100.0,37731741000.0,37123631000.0,-608110000.0,17021639000.0,2607619000.0,17478142000.0,3976246000.0,7183870000.0,-2112228000.0,7183870000.0,-864916000.0,-3762999000.0,3545718000.0,0.057318843880829154
2016-05-16,2356.TW,89718514000.0,0.34,1231328000.0,1365468000.0,1365468000.0,-341736000.0,95363591000.0,518868000.0,1023732000.0,35874751000.0,21.39,2912784000.0,1.74,24595724000.0,14.66,120941355000.0,72.09,95909222000.0,57.17,63762083000.0,57371906000.0,34.2,38.01,103992224000.0,61.99,46812952000.0,27.91,8083002000.0,4.82,35874751000.0,21.39,13398584000.0,7.99,2469224000.0,1.47,40052559000.0,23.88,16115147000.0,9.61,167754307000.0,100.0,167754307000.0,100.0,37123631000.0,24595724000.0,-12527907000.0,819090000.0,-5702439000.0,1198787000.0,1007990000.0,1884336000.0,-329096000.0,1884336000.0,-216413000.0,-6192328000.0,1130792000.0,0.006328113806706716
2016-08-15,2356.TW,102329555000.0,0.4,1414265000.0,1303619000.0,1303619000.0,-703312000.0,108331042000.0,525341000.0,600307000.0,35874751000.0,20.86,2912784000.0,1.69,27575595000.0,16.03,125938579000.0,73.23,105111887000.0,61.12,59474926000.0,53064246000.0,30.86,34.58,112504158000.0,65.42,46040505000.0,26.77,7392271000.0,4.3,35874751000.0,20.86,15164563000.0,8.82,1769764000.0,1.03,39091667000.0,22.73,12506947000.0,7.27,171979084000.0,100.0,171979084000.0,100.0,37123631000.0,27575595000.0,-9548036000.0,6205090000.0,-6879669000.0,7217073000.0,2043195000.0,3713296000.0,-557519000.0,3713296000.0,-512363000.0,-7211089000.0,2153896000.0,0.19683726584654745
2016-11-15,2356.TW,105762509000.0,0.34,1213408000.0,676687000.0,676687000.0,-972198000.0,111653720000.0,438436000.0,-295511000.0,35874751000.0,20.71,2912784000.0,1.68,19483335000.0,11.25,127299900000.0,73.49,106353439000.0,61.4,59179415000.0,53309601000.0,30.78,34.17,114034879000.0,65.83,45914394000.0,26.51,7681440000.0,4.43,35874751000.0,20.71,15934661000.0,9.2,801711000.0,0.46,39042888000.0,22.54,13720355000.0,7.92,173214294000.0,100.0,173214294000.0,100.0,37123631000.0,19483335000.0,-17640296000.0,3556279000.0,-8627323000.0,5326512000.0,3015636000.0,4828419000.0,-774455000.0,4828419000.0,-665406000.0,-8963954000.0,3511577000.0,-0.024861967628237974
2017-04-01,2356.TW,106697667000.0,0.49,1778119000.0,1625599000.0,1625599000.0,-298064000.0,113117662000.0,635891000.0,1327535000.0,35874751000.0,19.67,2913096000.0,1.6,25972444000.0,14.24,136793121000.0,75.01,115082956000.0,63.1,60507262000.0,54792873000.0,30.04,33.18,121865955000.0,66.82,45580096000.0,24.99,6782999000.0,3.72,35874751000.0,19.67,17182736000.0,9.42,518713000.0,0.28,38666219000.0,21.2,15486313000.0,8.49,182373217000.0,100.0,182373217000.0,100.0,37123631000.0,25972444000.0,-11151187000.0,5933971000.0,-10935641000.0,7943192000.0,3979496000.0,7089909000.0,-938703000.0,7089909000.0,-865301000.0,-10692904000.0,5579925000.0,0.01225571927091494
2017-05-16,2356.TW,94203209000.0,0.19,678449000.0,357473000.0,357473000.0,-1211744000.0,99754988000.0,271199000.0,-854271000.0,35874751000.0,19.88,2913096000.0,1.61,21089878000.0,11.69,134320885000.0,74.44,114088357000.0,63.23,59652991000.0,54264699000.0,30.07,33.06,120787307000.0,66.94,46119413000.0,25.56,6698950000.0,3.71,35874751000.0,19.88,16534598000.0,9.16,-687910000.0,-0.38,37937591000.0,21.03,16164762000.0,8.96,180440298000.0,100.0,180440298000.0,100.0,25972444000.0,21089878000.0,-4882566000.0,-12254459000.0,-3259657000.0,-11852767000.0,912187000.0,628672000.0,-280061000.0,628672000.0,-280944000.0,-1377213000.0,1401325000.0,0.11320554847789971
2017-08-15,2356.TW,105110904000.0,0.54,1925202000.0,1725368000.0,1725368000.0,645666000.0,111119931000.0,838390000.0,2371034000.0,35874751000.0,17.52,2913096000.0,1.42,20698238000.0,10.11,159773986000.0,78.02,141213762000.0,68.96,204786425000.0,51627833000.0,25.21,100.0,147964239000.0,72.25,45012439000.0,21.98,6750477000.0,3.3,35874751000.0,17.52,18154787000.0,8.87,-48139000.0,-0.02,37405478000.0,18.27,12888125000.0,6.29,204786425000.0,100.0,204786425000.0,100.0,25972444000.0,20698238000.0,-5274206000.0,-22439810000.0,-4438734000.0,-21092172000.0,1831157000.0,3192430000.0,-594841000.0,3192430000.0,-497281000.0,-2030500000.0,2308565000.0,0.06003716961708761
