date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,1229.TW,1097685000.0,0.33,281506000.0,282478000.0,282478000.0,-460166000.0,1253789000.0,6352000.0,-177688000.0,8545383000.0,33.24,707412000.0,2.75,873128000.0,3.4,2725803000.0,10.6,2560025000.0,9.96,21517538000.0,21458396000.0,83.46,83.69,4192416000.0,16.31,22984151000.0,89.4,1632391000.0,6.35,8545383000.0,33.24,525648000.0,2.04,3124504000.0,12.15,1468769000.0,5.71,9083490000.0,35.33,25709954000.0,100.0,25709954000.0,100.0,830963000.0,873128000.0,42165000.0,102193000.0,-56049000.0,110109000.0,48552000.0,288830000.0,-2148000.0,288830000.0,-9999000.0,-8406000.0,-187535000.0,
2015-08-15,1229.TW,1147402000.0,0.84,714942000.0,715225000.0,715225000.0,942125000.0,1308460000.0,17403000.0,1657350000.0,8887198000.0,31.91,657352000.0,2.36,814717000.0,2.93,4406903000.0,15.83,4618043000.0,16.58,21995567000.0,21898876000.0,78.64,78.99,5851554000.0,21.01,23440218000.0,84.17,1233511000.0,4.43,8545383000.0,30.69,522694000.0,1.88,4067443000.0,14.61,1508708000.0,5.42,8289276000.0,29.77,27847121000.0,100.0,27847121000.0,100.0,830963000.0,814717000.0,-16246000.0,-204238000.0,-128350000.0,-114499000.0,99134000.0,1021458000.0,-4370000.0,1021458000.0,-20579000.0,-73824000.0,-826746000.0,-0.02661196375887442
2015-11-15,1229.TW,1153544000.0,0.32,327242000.0,323255000.0,323255000.0,-2334077000.0,1365761000.0,7336000.0,-2010822000.0,8887198000.0,36.33,674492000.0,2.76,682716000.0,2.79,2869901000.0,11.73,3223020000.0,13.18,20001954000.0,19906910000.0,81.38,81.77,4459372000.0,18.23,21591425000.0,88.27,1236352000.0,5.05,8887198000.0,36.33,28757000.0,0.12,1731027000.0,7.08,1501385000.0,6.14,8616586000.0,35.23,24461326000.0,100.0,24461326000.0,100.0,830963000.0,682716000.0,-148247000.0,1321920000.0,-574248000.0,1439905000.0,151402000.0,1352049000.0,-5745000.0,1352049000.0,-31310000.0,-92338000.0,311206000.0,0.0408093117391895
2016-04-01,1229.TW,1119830000.0,0.1,92326000.0,87036000.0,87036000.0,113548000.0,1376281000.0,-25647000.0,200584000.0,8887198000.0,36.27,733595000.0,2.99,604099000.0,2.47,2576773000.0,10.52,2796235000.0,11.41,20257353000.0,20169848000.0,82.33,82.68,4242328000.0,17.32,21922908000.0,89.48,1446093000.0,5.9,8887198000.0,36.27,20131000.0,0.08,1864290000.0,7.61,1494643000.0,6.1,8687158000.0,35.46,24499681000.0,100.0,24499681000.0,100.0,830963000.0,604099000.0,-226864000.0,1662725000.0,-799265000.0,1790443000.0,186373000.0,1413438000.0,-7870000.0,1413438000.0,-42694000.0,-112418000.0,404930000.0,0.09386189642417622
2016-05-16,1229.TW,1031034000.0,0.38,341488000.0,339308000.0,339308000.0,141404000.0,1310566000.0,7701000.0,480712000.0,8887198000.0,35.48,733637000.0,2.93,745611000.0,2.98,2475426000.0,9.88,3034077000.0,12.11,20738107000.0,20653040000.0,82.46,82.8,4308554000.0,17.2,22571235000.0,90.12,1274477000.0,5.09,8887198000.0,35.48,25254000.0,0.1,2005952000.0,8.01,1444734000.0,5.77,9028646000.0,36.05,25046661000.0,100.0,25046661000.0,100.0,604099000.0,745611000.0,141512000.0,363743000.0,-346680000.0,372166000.0,53044000.0,347009000.0,-830000.0,347009000.0,-9259000.0,-18558000.0,-139135000.0,-0.09631900494618173
2016-08-15,1229.TW,1046141000.0,0.67,589960000.0,583507000.0,583507000.0,50203000.0,1331347000.0,13613000.0,633710000.0,9109378000.0,34.98,743199000.0,2.85,1028420000.0,3.95,3742699000.0,14.37,4547180000.0,17.46,20319096000.0,20230092000.0,77.68,78.02,5723622000.0,21.98,22300019000.0,85.63,1176442000.0,4.52,8887198000.0,34.13,22787000.0,0.09,2057766000.0,7.9,1435609000.0,5.51,8322142000.0,31.96,26042718000.0,100.0,26042718000.0,100.0,604099000.0,1028420000.0,424321000.0,761990000.0,-763392000.0,778018000.0,105879000.0,944129000.0,-2163000.0,944129000.0,-17742000.0,-55720000.0,-537180000.0,0.24071853334195947
2016-11-15,1229.TW,994135000.0,0.76,714188000.0,712559000.0,712559000.0,1009006000.0,1306600000.0,71618000.0,1721565000.0,9109378000.0,33.01,748262000.0,2.71,883942000.0,3.2,3820818000.0,13.84,4377206000.0,15.86,22045724000.0,21960222000.0,79.57,79.88,5552189000.0,20.12,23777095000.0,86.16,1174983000.0,4.26,9109378000.0,33.01,28170000.0,0.1,3068645000.0,11.12,1459178000.0,5.29,9036330000.0,32.74,27597913000.0,100.0,27597913000.0,100.0,604099000.0,883942000.0,279843000.0,914224000.0,-805605000.0,937180000.0,158638000.0,1728306000.0,-4616000.0,1728306000.0,-26567000.0,-119973000.0,-868117000.0,0.11605834792633497
2017-04-01,1229.TW,960091000.0,0.56,508612000.0,505984000.0,505984000.0,-447271000.0,1274916000.0,-2606000.0,58713000.0,9109378000.0,34.71,753539000.0,2.87,775433000.0,2.95,2482242000.0,9.46,3348227000.0,12.76,22114560000.0,22033635000.0,83.95,84.26,4131949000.0,15.74,23764267000.0,90.54,783722000.0,2.99,9109378000.0,34.71,419141000.0,1.6,2646620000.0,10.08,1510330000.0,5.75,9526491000.0,36.3,26246509000.0,100.0,26246509000.0,100.0,604099000.0,775433000.0,171334000.0,2381299000.0,-925371000.0,1076126000.0,195925000.0,2231684000.0,-6369000.0,2231684000.0,-36078000.0,-184380000.0,-1400837000.0,0.1962338989889254
2017-05-16,1229.TW,890434000.0,0.5,457782000.0,456238000.0,456238000.0,147681000.0,1152034000.0,18078000.0,603919000.0,9109378000.0,34.11,753539000.0,2.82,626783000.0,2.35,2185345000.0,8.18,2814991000.0,10.54,22719079000.0,22641647000.0,84.77,85.06,3989712000.0,14.94,24523446000.0,91.82,1174721000.0,4.4,9109378000.0,34.11,19866000.0,0.07,2796853000.0,10.47,1499523000.0,5.61,9984270000.0,37.38,26708791000.0,100.0,26708791000.0,100.0,775433000.0,626783000.0,-148650000.0,239548000.0,-274646000.0,245175000.0,50990000.0,474316000.0,-1100000.0,474316000.0,-6811000.0,-32977000.0,-299176000.0,0.031024005175727645
2017-08-15,1229.TW,942190000.0,0.68,619020000.0,605659000.0,605659000.0,904646000.0,1204852000.0,27843000.0,1510305000.0,9564847000.0,33.65,753138000.0,2.65,814691000.0,2.87,3765140000.0,13.24,4484168000.0,15.77,28428452000.0,22706331000.0,79.87,100.0,5656970000.0,19.9,24663312000.0,86.76,1172802000.0,4.13,9109378000.0,32.04,9852000.0,0.03,3700419000.0,13.02,1460520000.0,5.14,8690320000.0,30.57,28428452000.0,100.0,28428452000.0,100.0,775433000.0,814691000.0,39258000.0,206303000.0,-322132000.0,306805000.0,101786000.0,1107818000.0,-2270000.0,1107818000.0,-14022000.0,-81509000.0,-743312000.0,0.12959276929337885
