date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,2377.TW,17084535000.0,1.12,948570000.0,948570000.0,948570000.0,-143533000.0,20237673000.0,184313000.0,805037000.0,8448562000.0,19.46,2920142000.0,6.73,9778481000.0,22.52,36918545000.0,85.03,17690161000.0,40.74,25337573000.0,25337573000.0,58.36,58.36,18079259000.0,41.64,6498287000.0,14.97,389098000.0,0.9,8448562000.0,19.46,421237000.0,0.97,327781000.0,0.75,5707953000.0,13.15,13641088000.0,31.42,43416832000.0,100.0,43416832000.0,100.0,10002083000.0,9778481000.0,-223602000.0,-800279000.0,-51560000.0,-793277000.0,138736000.0,1132883000.0,-25089000.0,1132883000.0,-7049000.0,-57336000.0,107700000.0,
2015-08-15,2377.TW,16004311000.0,0.66,554781000.0,554781000.0,554781000.0,-94482000.0,18427145000.0,7178000.0,460299000.0,8448562000.0,20.99,2920142000.0,7.25,9126946000.0,22.67,33937000000.0,84.3,16589622000.0,41.21,23263303000.0,23263303000.0,57.78,57.78,16995687000.0,42.22,6321990000.0,15.7,406065000.0,1.01,8448562000.0,20.99,295056000.0,0.73,233299000.0,0.58,5589114000.0,13.88,11661300000.0,28.97,40258990000.0,100.0,40258990000.0,100.0,10002083000.0,9126946000.0,-875137000.0,630657000.0,-90536000.0,877410000.0,270491000.0,1694842000.0,-49280000.0,1694842000.0,-14229000.0,-94979000.0,302646000.0,-0.09835217343733357
2015-11-15,2377.TW,19058852000.0,1.35,1143946000.0,1143946000.0,1143946000.0,441651000.0,22544227000.0,188148000.0,1585597000.0,8448562000.0,19.86,2920142000.0,6.86,7731405000.0,18.17,36104324000.0,84.85,17293730000.0,40.64,24848900000.0,24848900000.0,58.4,58.4,17702389000.0,41.6,6446965000.0,15.15,408659000.0,0.96,8448562000.0,19.86,319602000.0,0.75,674950000.0,1.59,5621895000.0,13.21,12805246000.0,30.09,42551289000.0,100.0,42551289000.0,100.0,10002083000.0,7731405000.0,-2270678000.0,2059922000.0,-121809000.0,2598444000.0,410149000.0,3026936000.0,-71968000.0,3026936000.0,-16577000.0,-125412000.0,545519000.0,0.17730565261124281
2016-04-01,2377.TW,20305962000.0,1.26,1059159000.0,1059159000.0,1059159000.0,-166042000.0,24085749000.0,180948000.0,893117000.0,8448562000.0,18.16,2920142000.0,6.28,11568417000.0,24.86,40285522000.0,86.58,20542332000.0,44.15,25742017000.0,25742017000.0,55.32,55.32,20788852000.0,44.68,6245347000.0,13.42,246520000.0,0.53,8448562000.0,18.16,398983000.0,0.86,529953000.0,1.14,5432454000.0,11.67,13843360000.0,29.75,46530869000.0,100.0,46530869000.0,100.0,10002083000.0,11568417000.0,1566334000.0,5728144000.0,-194368000.0,6256938000.0,549110000.0,4267043000.0,-89274000.0,4267043000.0,-18615000.0,-197188000.0,729019000.0,0.1436597737385527
2016-05-16,2377.TW,19870767000.0,1.37,1154224000.0,1154224000.0,1154224000.0,-132553000.0,23509306000.0,288321000.0,1021671000.0,8448562000.0,19.01,2920142000.0,6.57,9639803000.0,21.69,38321589000.0,86.21,17402973000.0,39.15,26763688000.0,26763688000.0,60.21,60.21,17688610000.0,39.79,6130709000.0,13.79,285637000.0,0.64,8448562000.0,19.01,297828000.0,0.67,397400000.0,0.89,5343723000.0,12.02,14997584000.0,33.74,44452298000.0,100.0,44452298000.0,100.0,11568417000.0,9639803000.0,-1928614000.0,-1112143000.0,-83110000.0,-1102172000.0,140462000.0,1442545000.0,-18711000.0,1442545000.0,-861000.0,-83998000.0,221679000.0,0.013202243565000308
2016-08-15,2377.TW,19553294000.0,1.1,928492000.0,928492000.0,928492000.0,-163655000.0,22594556000.0,176867000.0,764837000.0,8448562000.0,18.7,2075286000.0,4.59,11670763000.0,25.83,38992499000.0,86.31,20309271000.0,44.96,24571529000.0,24571529000.0,54.39,54.39,20603640000.0,45.61,6182670000.0,13.69,294369000.0,0.65,8448562000.0,18.7,375464000.0,0.83,233745000.0,0.52,5285369000.0,11.7,13813936000.0,30.58,45175169000.0,100.0,45175169000.0,100.0,11568417000.0,11670763000.0,102346000.0,1051929000.0,-163904000.0,1215888000.0,289323000.0,2547904000.0,-37594000.0,2547904000.0,-1165000.0,-166269000.0,264157000.0,0.17665777765643031
2016-11-15,2377.TW,25197125000.0,1.91,1614505000.0,1614505000.0,1614505000.0,-253256000.0,29542928000.0,292411000.0,1361249000.0,8448562000.0,17.16,2075286000.0,4.21,11743099000.0,23.85,43214186000.0,87.77,22999112000.0,46.71,25932778000.0,25932778000.0,52.67,52.67,23302982000.0,47.33,6021574000.0,12.23,303870000.0,0.62,8448562000.0,17.16,405640000.0,0.82,-19511000.0,-0.04,5060821000.0,10.28,15428441000.0,31.34,49235760000.0,100.0,49235760000.0,100.0,11568417000.0,11743099000.0,174682000.0,4282973000.0,-234392000.0,4832291000.0,413578000.0,4454820000.0,-57593000.0,4454820000.0,-1773000.0,-239821000.0,327606000.0,0.15686929064979313
2017-04-01,2377.TW,22617647000.0,1.41,1190721000.0,1190721000.0,1190721000.0,-228186000.0,26543713000.0,176631000.0,962535000.0,8448562000.0,16.74,2070471000.0,4.1,12267586000.0,24.31,44556225000.0,88.29,23193111000.0,45.96,26890498000.0,26890498000.0,53.28,53.28,23577286000.0,46.72,5911559000.0,11.71,384175000.0,0.76,8448562000.0,16.74,364548000.0,0.72,-230160000.0,-0.46,5092392000.0,10.09,16601625000.0,32.9,50467784000.0,100.0,50467784000.0,100.0,11568417000.0,12267586000.0,699169000.0,5038336000.0,-443230000.0,5583862000.0,552453000.0,5822172000.0,-77218000.0,5822172000.0,-3040000.0,-432909000.0,201289000.0,-0.09978456279049268
2017-05-16,2377.TW,21026089000.0,1.63,1373146000.0,1373146000.0,1373146000.0,-398116000.0,24553252000.0,235356000.0,975030000.0,8448562000.0,18.29,2070471000.0,4.48,9983796000.0,21.62,40421600000.0,87.52,17975081000.0,38.92,27865528000.0,27865528000.0,60.33,60.33,18319225000.0,39.67,5763153000.0,12.48,344144000.0,0.75,8448562000.0,18.29,339340000.0,0.73,-628276000.0,-1.36,4853460000.0,10.51,17974771000.0,38.92,46184753000.0,100.0,46184753000.0,100.0,12267586000.0,9983796000.0,-2283790000.0,-1904428000.0,-39666000.0,-1894312000.0,140290000.0,1608502000.0,-16232000.0,1608502000.0,-706000.0,-39245000.0,170715000.0,0.02451611687257442
2017-08-15,2377.TW,20244306000.0,0.77,656872000.0,656872000.0,656872000.0,141981000.0,23250986000.0,242850000.0,798853000.0,8448562000.0,18.51,1225615000.0,2.68,11481206000.0,25.15,39912363000.0,87.43,20417969000.0,44.73,24862528000.0,24862528000.0,54.46,54.46,20788908000.0,45.54,5739073000.0,12.57,370939000.0,0.81,8448562000.0,18.51,601123000.0,1.32,-486295000.0,-1.07,4810698000.0,10.54,15674646000.0,34.34,45651436000.0,100.0,45651436000.0,100.0,12267586000.0,11481206000.0,-786380000.0,-495642000.0,-112032000.0,-86540000.0,277778000.0,2508224000.0,-33797000.0,2508224000.0,-1018000.0,-78208000.0,336195000.0,0.08864032316050226
